state_name,year,unauth_cms
Alaska,2016,6600.0
Arizona,2016,262900.0
Arkansas,2016,49700.0
California,2016,2548500.0
Colorado,2016,184400.0
Connecticut,2016,107500.0
Delaware,2016,24400.0
Florida,2016,733100.0
Georgia,2016,353500.0
Hawaii,2016,43900.0
Idaho,2016,31900.0
Illinois,2016,475500.0
Indiana,2016,95700.0
Iowa,2016,48000.0
Kansas,2016,76800.0
Kentucky,2016,35500.0
Louisiana,2016,62000.0
Maine,2016,4600.0
Maryland,2016,235000.0
Massachusetts,2016,159200.0
Michigan,2016,101100.0
Minnesota,2016,89200.0
Mississippi,2016,17700.0
Missouri,2016,54000.0
Montana,2016,1000.0
Nebraska,2016,49500.0
Nevada,2016,176200.0
New Hampshire,2016,11500.0
New Jersey,2016,452200.0
New Mexico,2016,56200.0
New York,2016,801600.0
North Carolina,2016,279900.0
North Dakota,2016,5000.0
Ohio,2016,75900.0
Oklahoma,2016,83700.0
Oregon,2016,101900.0
Pennsylvania,2016,158600.0
Rhode Island,2016,23600.0
South Carolina,2016,86900.0
South Dakota,2016,7500.0
Tennessee,2016,117900.0
Texas,2016,1758300.0
Utah,2016,86500.0
Vermont,2016,1500.0
Virginia,2016,249700.0
Washington,2016,241800.0
West Virginia,2016,5400.0
Wisconsin,2016,75100.0
Wyoming,2016,7100.0
Alabama,2017,66200.0
Alaska,2017,9100.0
Arizona,2017,251900.0
Arkansas,2017,54100.0
California,2017,2363900.0
Colorado,2017,166300.0
Connecticut,2017,118400.0
Delaware,2017,26300.0
Florida,2017,765800.0
Georgia,2017,335200.0
Hawaii,2017,32600.0
Idaho,2017,29800.0
Illinois,2017,460400.0
Indiana,2017,99700.0
Iowa,2017,40400.0
Kansas,2017,68100.0
Kentucky,2017,44100.0
Louisiana,2017,59600.0
Maine,2017,2200.0
Maryland,2017,223700.0
Massachusetts,2017,184700.0
Michigan,2017,120700.0
Minnesota,2017,76800.0
Mississippi,2017,18600.0
Missouri,2017,51500.0
Montana,2017,4000.0
Nebraska,2017,42400.0
Nevada,2017,174000.0
New Hampshire,2017,12800.0
New Jersey,2017,451600.0
New Mexico,2017,52700.0
New York,2017,753200.0
North Carolina,2017,300200.0
North Dakota,2017,4700.0
Ohio,2017,89400.0
Oklahoma,2017,85300.0
Oregon,2017,99500.0
Pennsylvania,2017,184500.0
Rhode Island,2017,22500.0
South Carolina,2017,78000.0
South Dakota,2017,8900.0
Tennessee,2017,116500.0
Texas,2017,1810900.0
Utah,2017,101300.0
Vermont,2017,3700.0
Virginia,2017,243200.0
Washington,2017,251500.0
West Virginia,2017,2400.0
Wisconsin,2017,69900.0
Wyoming,2017,5700.0
Alabama,2018,55500.0
Alaska,2018,5700.0
Arizona,2018,260000.0
Arkansas,2018,61500.0
California,2018,2312000.0
Colorado,2018,158600.0
Connecticut,2018,116300.0
Delaware,2018,25100.0
Florida,2018,756000.0
Georgia,2018,342600.0
Hawaii,2018,34900.0
Idaho,2018,37400.0
Illinois,2018,449100.0
Indiana,2018,103700.0
Iowa,2018,52500.0
Kansas,2018,76500.0
Kentucky,2018,48600.0
Louisiana,2018,65500.0
Maine,2018,3900.0
Maryland,2018,214400.0
Massachusetts,2018,181800.0
Michigan,2018,112700.0
Minnesota,2018,87000.0
Mississippi,2018,24000.0
Missouri,2018,50000.0
Montana,2018,2000.0
Nebraska,2018,44600.0
Nevada,2018,159600.0
New Hampshire,2018,5800.0
New Jersey,2018,416500.0
New Mexico,2018,64400.0
New York,2018,684000.0
North Carolina,2018,301400.0
North Dakota,2018,7200.0
Ohio,2018,94700.0
Oklahoma,2018,83800.0
Oregon,2018,118600.0
Pennsylvania,2018,186700.0
Rhode Island,2018,23800.0
South Carolina,2018,74700.0
South Dakota,2018,5300.0
Tennessee,2018,126000.0
Texas,2018,1794800.0
Utah,2018,92000.0
Vermont,2018,3600.0
Virginia,2018,266300.0
Washington,2018,271500.0
West Virginia,2018,3500.0
Wisconsin,2018,73100.0
Wyoming,2018,4400.0
Alabama,2019,59900.0
Alaska,2019,3500.0
Arizona,2019,258600.0
Arkansas,2019,60000.0
California,2019,2251800.0
Colorado,2019,146400.0
Connecticut,2019,103600.0
Delaware,2019,29200.0
Florida,2019,777500.0
Georgia,2019,330900.0
Hawaii,2019,31500.0
Idaho,2019,28100.0
Illinois,2019,391600.0
Indiana,2019,97200.0
Iowa,2019,40000.0
Kansas,2019,72200.0
Kentucky,2019,50400.0
Louisiana,2019,58000.0
Maine,2019,4400.0
Maryland,2019,231000.0
Massachusetts,2019,177400.0
Michigan,2019,113500.0
Minnesota,2019,79300.0
Mississippi,2019,19500.0
Missouri,2019,49600.0
Montana,2019,900.0
Nebraska,2019,39400.0
Nevada,2019,179100.0
New Hampshire,2019,11900.0
New Jersey,2019,427200.0
New Mexico,2019,52400.0
New York,2019,641700.0
North Carolina,2019,304500.0
North Dakota,2019,7300.0
Ohio,2019,98700.0
Oklahoma,2019,86300.0
Oregon,2019,105600.0
Pennsylvania,2019,155800.0
Rhode Island,2019,26200.0
South Carolina,2019,100000.0
South Dakota,2019,7100.0
Tennessee,2019,130200.0
Texas,2019,1781800.0
Utah,2019,90700.0
Vermont,2019,3500.0
Virginia,2019,260700.0
Washington,2019,275100.0
West Virginia,2019,3200.0
Wisconsin,2019,76600.0
Wyoming,2019,6000.0
