off_eth,vic_eth,vic_band,off_band,rel,n
nh_other,nh_other,55-59,55-59,acquaintance,1
nh_other,nh_other,55-59,55-59,family,1
nh_other,nh_other,55-59,55-59,intimate,2
nh_other,nh_other,55-59,60-64,intimate,1
nh_other,nh_other,55-59,65-69,intimate,1
nh_other,nh_other,60-64,20-24,family,2
nh_other,nh_other,60-64,20-24,stranger,1
nh_other,nh_other,60-64,25-29,family,3
nh_other,nh_other,60-64,30-34,acquaintance,1
nh_other,nh_other,60-64,30-34,family,3
nh_other,nh_other,60-64,35-39,family,1
nh_other,nh_other,60-64,40-44,acquaintance,1
nh_other,nh_other,60-64,40-44,family,1
nh_other,nh_other,60-64,40-44,unknown,1
nh_other,nh_other,60-64,45-49,unknown,1
nh_other,nh_other,60-64,50-54,acquaintance,1
nh_other,nh_other,60-64,50-54,family,1
nh_other,nh_other,60-64,55-59,intimate,1
nh_other,nh_other,60-64,60-64,intimate,1
nh_other,nh_other,60-64,65-69,intimate,1
nh_other,nh_other,60-64,65-69,unknown,1
nh_other,nh_other,65-69,20-24,intimate,1
nh_other,nh_other,65-69,20-24,stranger,1
nh_other,nh_other,65-69,25-29,acquaintance,1
nh_other,nh_other,65-69,25-29,family,3
nh_other,nh_other,65-69,30-34,acquaintance,1
nh_other,nh_other,65-69,30-34,family,1
nh_other,nh_other,65-69,35-39,family,1
nh_other,nh_other,65-69,35-39,unknown,1
nh_other,nh_other,65-69,40-44,stranger,1
nh_other,nh_other,65-69,45-49,acquaintance,1
nh_other,nh_other,65-69,50-54,acquaintance,1
nh_other,nh_other,65-69,50-54,unknown,1
nh_other,nh_other,65-69,55-59,acquaintance,1
nh_other,nh_other,65-69,60-64,intimate,1
nh_other,nh_other,65-69,65-69,intimate,3
nh_other,nh_other,65-69,70-74,intimate,1
nh_other,nh_other,65-69,75-79,intimate,1
nh_other,nh_other,70-74,15-19,unknown,1
nh_other,nh_other,70-74,25-29,family,1
nh_other,nh_other,70-74,30-34,family,1
nh_other,nh_other,70-74,40-44,family,1
nh_other,nh_other,70-74,45-49,family,1
nh_other,nh_other,70-74,70-74,family,1
nh_other,nh_other,70-74,75-79,intimate,1
nh_other,nh_other,75-79,25-29,family,1
nh_other,nh_other,75-79,35-39,family,1
nh_other,nh_other,75-79,40-44,family,2
nh_other,nh_other,75-79,55-59,family,1
nh_other,nh_other,75-79,60-64,acquaintance,1
nh_other,nh_other,75-79,75-79,intimate,2
nh_other,nh_other,75-79,85+,intimate,2
nh_other,nh_other,80-84,15-19,family,1
nh_other,nh_other,80-84,25-29,unknown,1
nh_other,nh_other,80-84,35-39,acquaintance,1
nh_other,nh_other,80-84,70-74,acquaintance,1
nh_other,nh_other,85+,25-29,acquaintance,1
nh_other,nh_other,85+,45-49,family,1
nh_other,nh_other,85+,85+,intimate,1
nh_other,nh_other,unknown,15-19,acquaintance,1
nh_other,nh_other,unknown,25-29,unknown,1
nh_other,nh_other,unknown,35-39,stranger,1
nh_other,nh_other,unknown,35-39,unknown,2
nh_other,nh_other,unknown,45-49,unknown,1
nh_other,nh_other,unknown,50-54,family,1
nh_other,nh_other,unknown,unknown,acquaintance,1
nh_other,nh_white,0-4,20-24,family,1
nh_other,nh_white,0-4,20-24,unknown,1
nh_other,nh_white,0-4,40-44,acquaintance,1
nh_other,nh_white,15-19,10-14,acquaintance,2
nh_other,nh_white,15-19,15-19,intimate,1
nh_other,nh_white,15-19,15-19,stranger,1
nh_other,nh_white,15-19,20-24,acquaintance,1
nh_other,nh_white,15-19,20-24,stranger,1
nh_other,nh_white,15-19,30-34,acquaintance,1
nh_other,nh_white,15-19,35-39,stranger,1
nh_other,nh_white,20-24,15-19,acquaintance,1
nh_other,nh_white,20-24,20-24,acquaintance,3
nh_other,nh_white,20-24,20-24,intimate,1
nh_other,nh_white,20-24,25-29,acquaintance,1
nh_other,nh_white,20-24,25-29,stranger,1
nh_other,nh_white,20-24,35-39,stranger,1
nh_other,nh_white,25-29,15-19,acquaintance,1
nh_other,nh_white,25-29,20-24,stranger,1
nh_other,nh_white,25-29,30-34,acquaintance,2
nh_other,nh_white,25-29,30-34,stranger,1
nh_other,nh_white,25-29,45-49,stranger,2
nh_other,nh_white,25-29,50-54,acquaintance,1
nh_other,nh_white,30-34,30-34,acquaintance,1
nh_other,nh_white,30-34,30-34,family,1
nh_other,nh_white,30-34,30-34,unknown,1
nh_other,nh_white,30-34,35-39,intimate,2
nh_other,nh_white,30-34,40-44,intimate,1
nh_other,nh_white,30-34,45-49,intimate,1
nh_other,nh_white,30-34,55-59,acquaintance,1
nh_other,nh_white,30-34,55-59,stranger,1
nh_other,nh_white,35-39,15-19,family,1
nh_other,nh_white,35-39,20-24,acquaintance,1
nh_other,nh_white,35-39,20-24,family,1
nh_other,nh_white,35-39,20-24,unknown,1
nh_other,nh_white,35-39,25-29,acquaintance,2
nh_other,nh_white,35-39,25-29,stranger,1
nh_other,nh_white,35-39,30-34,acquaintance,3
nh_other,nh_white,35-39,35-39,acquaintance,1
nh_other,nh_white,35-39,35-39,family,1
nh_other,nh_white,35-39,35-39,intimate,3
nh_other,nh_white,35-39,35-39,stranger,2
nh_other,nh_white,35-39,35-39,unknown,1
nh_other,nh_white,35-39,40-44,acquaintance,2
nh_other,nh_white,35-39,40-44,intimate,1
nh_other,nh_white,35-39,50-54,intimate,1
nh_other,nh_white,40-44,25-29,acquaintance,1
nh_other,nh_white,40-44,25-29,unknown,2
nh_other,nh_white,40-44,30-34,acquaintance,1
nh_other,nh_white,40-44,30-34,stranger,1
nh_other,nh_white,40-44,30-34,unknown,1
nh_other,nh_white,40-44,35-39,acquaintance,1
nh_other,nh_white,40-44,35-39,intimate,1
nh_other,nh_white,40-44,35-39,unknown,1
nh_other,nh_white,40-44,40-44,stranger,2
nh_other,nh_white,40-44,45-49,acquaintance,1
nh_other,nh_white,40-44,45-49,stranger,1
nh_other,nh_white,40-44,45-49,unknown,1
nh_other,nh_white,40-44,50-54,intimate,1
nh_other,nh_white,45-49,15-19,family,1
nh_other,nh_white,45-49,15-19,unknown,1
nh_other,nh_white,45-49,20-24,family,1
nh_other,nh_white,45-49,25-29,acquaintance,1
nh_other,nh_white,45-49,25-29,stranger,1
nh_other,nh_white,45-49,30-34,acquaintance,1
nh_other,nh_white,45-49,40-44,intimate,1
nh_other,nh_white,45-49,45-49,intimate,1
nh_other,nh_white,45-49,55-59,unknown,1
nh_other,nh_white,50-54,20-24,unknown,1
nh_other,nh_white,50-54,30-34,acquaintance,1
nh_other,nh_white,50-54,30-34,family,1
nh_other,nh_white,50-54,30-34,stranger,1
nh_other,nh_white,50-54,35-39,acquaintance,1
nh_other,nh_white,50-54,40-44,acquaintance,1
nh_other,nh_white,50-54,40-44,intimate,1
nh_other,nh_white,50-54,45-49,intimate,1
nh_other,nh_white,50-54,50-54,intimate,2
nh_other,nh_white,55-59,15-19,stranger,1
nh_other,nh_white,55-59,20-24,stranger,1
nh_other,nh_white,55-59,25-29,acquaintance,1
nh_other,nh_white,55-59,30-34,acquaintance,1
nh_other,nh_white,55-59,30-34,family,1
nh_other,nh_white,55-59,30-34,stranger,1
nh_other,nh_white,55-59,45-49,family,1
nh_other,nh_white,55-59,50-54,acquaintance,1
nh_other,nh_white,60-64,25-29,acquaintance,1
nh_other,nh_white,60-64,30-34,acquaintance,1
nh_other,nh_white,60-64,30-34,unknown,1
nh_other,nh_white,60-64,35-39,acquaintance,1
nh_other,nh_white,60-64,35-39,stranger,1
nh_other,nh_white,60-64,40-44,acquaintance,1
nh_other,nh_white,60-64,40-44,intimate,1
nh_other,nh_white,60-64,55-59,intimate,1
nh_other,nh_white,60-64,55-59,stranger,1
nh_other,nh_white,65-69,25-29,acquaintance,1
nh_other,nh_white,65-69,40-44,acquaintance,1
nh_other,nh_white,65-69,60-64,intimate,1
nh_other,nh_white,65-69,65-69,intimate,1
nh_other,nh_white,70-74,25-29,stranger,1
nh_other,nh_white,70-74,35-39,family,1
nh_other,nh_white,70-74,45-49,acquaintance,1
nh_other,nh_white,70-74,45-49,intimate,1
nh_other,nh_white,70-74,45-49,unknown,1
nh_other,nh_white,75-79,20-24,stranger,1
nh_other,nh_white,75-79,45-49,acquaintance,1
nh_other,nh_white,75-79,70-74,intimate,2
nh_other,nh_white,80-84,70-74,acquaintance,1
nh_other,nh_white,85+,30-34,acquaintance,1
nh_other,nh_white,unknown,25-29,family,1
nh_other,unknown,0-4,20-24,family,1
nh_other,unknown,0-4,25-29,family,1
nh_other,unknown,15-19,15-19,acquaintance,1
nh_other,unknown,15-19,15-19,stranger,1
nh_other,unknown,15-19,20-24,acquaintance,2
nh_other,unknown,15-19,25-29,acquaintance,1
nh_other,unknown,15-19,45-49,unknown,1
nh_other,unknown,20-24,20-24,acquaintance,2
nh_other,unknown,20-24,20-24,intimate,2
nh_other,unknown,20-24,30-34,intimate,1
nh_other,unknown,25-29,10-14,family,1
nh_other,unknown,25-29,25-29,acquaintance,1
nh_other,unknown,25-29,30-34,intimate,1
nh_other,unknown,25-29,30-34,unknown,1
nh_other,unknown,30-34,20-24,unknown,1
nh_other,unknown,30-34,35-39,acquaintance,1
nh_other,unknown,30-34,40-44,stranger,1
nh_other,unknown,35-39,20-24,unknown,1
nh_other,unknown,35-39,25-29,stranger,1
nh_other,unknown,35-39,25-29,unknown,1
nh_other,unknown,35-39,35-39,acquaintance,1
nh_other,unknown,35-39,40-44,acquaintance,1
nh_other,unknown,35-39,45-49,unknown,1
nh_other,unknown,35-39,50-54,stranger,1
nh_other,unknown,40-44,35-39,intimate,1
nh_other,unknown,40-44,40-44,acquaintance,1
nh_other,unknown,40-44,45-49,acquaintance,1
nh_other,unknown,45-49,20-24,unknown,1
nh_other,unknown,45-49,80-84,intimate,1
nh_other,unknown,50-54,15-19,family,1
nh_other,unknown,50-54,20-24,acquaintance,1
nh_other,unknown,50-54,20-24,family,3
nh_other,unknown,50-54,30-34,acquaintance,1
nh_other,unknown,50-54,35-39,stranger,1
nh_other,unknown,50-54,40-44,unknown,1
nh_other,unknown,50-54,45-49,acquaintance,1
nh_other,unknown,55-59,20-24,acquaintance,1
nh_other,unknown,55-59,25-29,unknown,1
nh_other,unknown,55-59,35-39,acquaintance,1
nh_other,unknown,55-59,40-44,acquaintance,1
nh_other,unknown,55-59,45-49,intimate,1
nh_other,unknown,55-59,55-59,intimate,1
nh_other,unknown,60-64,40-44,family,1
nh_other,unknown,60-64,40-44,unknown,1
nh_other,unknown,60-64,55-59,intimate,1
nh_other,unknown,75-79,35-39,stranger,1
nh_other,unknown,75-79,70-74,acquaintance,1
nh_other,unknown,80-84,30-34,stranger,1
nh_other,unknown,80-84,45-49,acquaintance,1
nh_other,unknown,80-84,45-49,family,1
nh_other,unknown,unknown,15-19,unknown,2
nh_other,unknown,unknown,25-29,unknown,1
nh_other,unknown,unknown,30-34,unknown,1
nh_other,unknown,unknown,35-39,family,1
nh_other,unknown,unknown,40-44,unknown,1
nh_other,unknown,unknown,45-49,acquaintance,1
nh_white,hispanic,0-4,15-19,acquaintance,1
nh_white,hispanic,0-4,15-19,family,1
nh_white,hispanic,0-4,20-24,family,2
nh_white,hispanic,0-4,20-24,unknown,1
nh_white,hispanic,0-4,25-29,family,4
nh_white,hispanic,0-4,35-39,family,1
nh_white,hispanic,10-14,20-24,acquaintance,1
nh_white,hispanic,10-14,25-29,stranger,1
nh_white,hispanic,10-14,30-34,family,1
nh_white,hispanic,10-14,40-44,family,1
nh_white,hispanic,10-14,50-54,family,1
nh_white,hispanic,15-19,15-19,acquaintance,13
nh_white,hispanic,15-19,15-19,family,1
nh_white,hispanic,15-19,15-19,intimate,1
nh_white,hispanic,15-19,15-19,stranger,6
nh_white,hispanic,15-19,15-19,unknown,4
nh_white,hispanic,15-19,20-24,acquaintance,6
nh_white,hispanic,15-19,20-24,stranger,3
nh_white,hispanic,15-19,25-29,acquaintance,3
nh_white,hispanic,15-19,25-29,stranger,2
nh_white,hispanic,15-19,25-29,unknown,1
nh_white,hispanic,15-19,30-34,acquaintance,2
nh_white,hispanic,15-19,30-34,stranger,1
nh_white,hispanic,15-19,30-34,unknown,1
nh_white,hispanic,15-19,35-39,acquaintance,2
nh_white,hispanic,15-19,35-39,stranger,1
nh_white,hispanic,15-19,35-39,unknown,1
nh_white,hispanic,15-19,45-49,unknown,1
nh_white,hispanic,15-19,50-54,stranger,1
nh_white,hispanic,20-24,15-19,acquaintance,4
nh_white,hispanic,20-24,15-19,intimate,1
nh_white,hispanic,20-24,15-19,stranger,1
nh_white,hispanic,20-24,15-19,unknown,3
nh_white,hispanic,20-24,20-24,acquaintance,8
nh_white,hispanic,20-24,20-24,family,2
nh_white,hispanic,20-24,20-24,intimate,4
nh_white,hispanic,20-24,20-24,stranger,7
nh_white,hispanic,20-24,20-24,unknown,3
nh_white,hispanic,20-24,25-29,family,2
nh_white,hispanic,20-24,25-29,intimate,1
nh_white,hispanic,20-24,25-29,stranger,3
nh_white,hispanic,20-24,25-29,unknown,4
nh_white,hispanic,20-24,30-34,acquaintance,2
nh_white,hispanic,20-24,30-34,intimate,2
nh_white,hispanic,20-24,30-34,stranger,3
nh_white,hispanic,20-24,30-34,unknown,3
nh_white,hispanic,20-24,35-39,acquaintance,3
nh_white,hispanic,20-24,35-39,stranger,1
nh_white,hispanic,20-24,35-39,unknown,3
nh_white,hispanic,20-24,40-44,acquaintance,1
nh_white,hispanic,20-24,40-44,stranger,1
nh_white,hispanic,20-24,45-49,acquaintance,1
nh_white,hispanic,20-24,45-49,stranger,3
nh_white,hispanic,20-24,50-54,acquaintance,1
nh_white,hispanic,20-24,55-59,family,1
nh_white,hispanic,20-24,55-59,intimate,1
nh_white,hispanic,20-24,unknown,unknown,1
nh_white,hispanic,25-29,10-14,unknown,1
nh_white,hispanic,25-29,15-19,unknown,2
nh_white,hispanic,25-29,20-24,acquaintance,2
nh_white,hispanic,25-29,20-24,stranger,2
nh_white,hispanic,25-29,20-24,unknown,8
nh_white,hispanic,25-29,25-29,acquaintance,3
nh_white,hispanic,25-29,25-29,intimate,2
nh_white,hispanic,25-29,25-29,stranger,4
nh_white,hispanic,25-29,25-29,unknown,2
nh_white,hispanic,25-29,30-34,acquaintance,4
nh_white,hispanic,25-29,30-34,stranger,3
nh_white,hispanic,25-29,30-34,unknown,2
nh_white,hispanic,25-29,35-39,acquaintance,7
nh_white,hispanic,25-29,35-39,intimate,2
nh_white,hispanic,25-29,35-39,stranger,3
nh_white,hispanic,25-29,40-44,family,1
nh_white,hispanic,25-29,40-44,stranger,3
nh_white,hispanic,25-29,40-44,unknown,1
nh_white,hispanic,25-29,45-49,acquaintance,1
nh_white,hispanic,25-29,45-49,intimate,1
nh_white,hispanic,25-29,50-54,stranger,3
nh_white,hispanic,25-29,55-59,family,1
nh_white,hispanic,25-29,55-59,intimate,1
nh_white,hispanic,25-29,55-59,stranger,2
nh_white,hispanic,25-29,60-64,unknown,1
nh_white,hispanic,30-34,15-19,acquaintance,1
nh_white,hispanic,30-34,15-19,family,1
nh_white,hispanic,30-34,15-19,unknown,1
nh_white,hispanic,30-34,20-24,acquaintance,5
nh_white,hispanic,30-34,20-24,unknown,2
nh_white,hispanic,30-34,25-29,acquaintance,5
nh_white,hispanic,30-34,25-29,intimate,3
nh_white,hispanic,30-34,25-29,stranger,6
nh_white,hispanic,30-34,25-29,unknown,3
nh_white,hispanic,30-34,30-34,acquaintance,10
nh_white,hispanic,30-34,30-34,intimate,2
nh_white,hispanic,30-34,30-34,stranger,1
nh_white,hispanic,30-34,30-34,unknown,1
nh_white,hispanic,30-34,35-39,acquaintance,2
nh_white,hispanic,30-34,35-39,intimate,2
nh_white,hispanic,30-34,35-39,stranger,2
nh_white,hispanic,30-34,35-39,unknown,3
nh_white,hispanic,30-34,40-44,acquaintance,3
nh_white,hispanic,30-34,40-44,intimate,3
nh_white,hispanic,30-34,40-44,stranger,3
nh_white,hispanic,30-34,40-44,unknown,2
nh_white,hispanic,30-34,45-49,acquaintance,3
nh_white,hispanic,30-34,45-49,family,1
nh_white,hispanic,30-34,45-49,intimate,1
nh_white,hispanic,30-34,45-49,stranger,4
nh_white,hispanic,30-34,45-49,unknown,1
nh_white,hispanic,30-34,50-54,intimate,1
nh_white,hispanic,30-34,50-54,stranger,2
nh_white,hispanic,30-34,55-59,acquaintance,1
nh_white,hispanic,30-34,55-59,stranger,1
nh_white,hispanic,30-34,60-64,acquaintance,1
nh_white,hispanic,30-34,60-64,stranger,1
nh_white,hispanic,30-34,60-64,unknown,1
nh_white,hispanic,30-34,65-69,acquaintance,1
nh_white,hispanic,30-34,70-74,stranger,1
nh_white,hispanic,35-39,15-19,unknown,1
nh_white,hispanic,35-39,20-24,acquaintance,2
nh_white,hispanic,35-39,20-24,stranger,3
nh_white,hispanic,35-39,20-24,unknown,5
nh_white,hispanic,35-39,25-29,acquaintance,3
nh_white,hispanic,35-39,25-29,intimate,1
nh_white,hispanic,35-39,25-29,unknown,4
nh_white,hispanic,35-39,30-34,acquaintance,6
nh_white,hispanic,35-39,30-34,family,1
nh_white,hispanic,35-39,30-34,intimate,4
nh_white,hispanic,35-39,30-34,stranger,5
nh_white,hispanic,35-39,30-34,unknown,1
nh_white,hispanic,35-39,35-39,acquaintance,3
nh_white,hispanic,35-39,35-39,intimate,4
nh_white,hispanic,35-39,35-39,unknown,3
nh_white,hispanic,35-39,40-44,acquaintance,1
nh_white,hispanic,35-39,40-44,intimate,2
nh_white,hispanic,35-39,40-44,stranger,1
nh_white,hispanic,35-39,40-44,unknown,1
nh_white,hispanic,35-39,45-49,acquaintance,3
nh_white,hispanic,35-39,45-49,intimate,5
nh_white,hispanic,35-39,45-49,unknown,1
nh_white,hispanic,35-39,50-54,acquaintance,1
nh_white,hispanic,35-39,50-54,intimate,1
nh_white,hispanic,35-39,50-54,stranger,1
nh_white,hispanic,35-39,55-59,acquaintance,1
nh_white,hispanic,35-39,55-59,unknown,2
nh_white,hispanic,35-39,60-64,acquaintance,1
nh_white,hispanic,35-39,60-64,unknown,1
nh_white,hispanic,35-39,75-79,stranger,1
nh_white,hispanic,35-39,80-84,family,1
nh_white,hispanic,40-44,15-19,acquaintance,1
nh_white,hispanic,40-44,15-19,family,1
nh_white,hispanic,40-44,15-19,stranger,1
nh_white,hispanic,40-44,15-19,unknown,2
nh_white,hispanic,40-44,20-24,acquaintance,2
nh_white,hispanic,40-44,20-24,family,1
nh_white,hispanic,40-44,20-24,unknown,2
nh_white,hispanic,40-44,25-29,acquaintance,1
nh_white,hispanic,40-44,25-29,unknown,1
nh_white,hispanic,40-44,30-34,acquaintance,2
nh_white,hispanic,40-44,30-34,intimate,1
nh_white,hispanic,40-44,30-34,stranger,2
nh_white,hispanic,40-44,30-34,unknown,1
nh_white,hispanic,40-44,35-39,acquaintance,2
nh_white,hispanic,40-44,35-39,family,1
nh_white,hispanic,40-44,35-39,intimate,4
nh_white,hispanic,40-44,35-39,stranger,3
nh_white,hispanic,40-44,35-39,unknown,1
nh_white,hispanic,40-44,40-44,acquaintance,3
nh_white,hispanic,40-44,40-44,intimate,5
nh_white,hispanic,40-44,45-49,acquaintance,2
nh_white,hispanic,40-44,45-49,intimate,4
nh_white,hispanic,40-44,50-54,acquaintance,2
nh_white,hispanic,40-44,50-54,intimate,2
nh_white,hispanic,40-44,55-59,acquaintance,1
nh_white,hispanic,40-44,60-64,acquaintance,1
nh_white,hispanic,40-44,60-64,stranger,1
nh_white,hispanic,40-44,65-69,acquaintance,1
nh_white,hispanic,40-44,70-74,stranger,1
nh_white,hispanic,40-44,85+,acquaintance,1
nh_white,hispanic,45-49,15-19,acquaintance,1
nh_white,hispanic,45-49,20-24,acquaintance,2
nh_white,hispanic,45-49,20-24,unknown,2
nh_white,hispanic,45-49,25-29,acquaintance,1
nh_white,hispanic,45-49,25-29,intimate,1
nh_white,hispanic,45-49,25-29,stranger,1
nh_white,hispanic,45-49,25-29,unknown,1
nh_white,hispanic,45-49,30-34,acquaintance,2
nh_white,hispanic,45-49,30-34,intimate,1
nh_white,hispanic,45-49,30-34,stranger,1
nh_white,hispanic,45-49,35-39,acquaintance,1
nh_white,hispanic,45-49,35-39,intimate,4
nh_white,hispanic,45-49,35-39,stranger,2
nh_white,hispanic,45-49,35-39,unknown,3
nh_white,hispanic,45-49,40-44,acquaintance,3
nh_white,hispanic,45-49,40-44,intimate,1
nh_white,hispanic,45-49,40-44,stranger,1
nh_white,hispanic,45-49,45-49,acquaintance,2
nh_white,hispanic,45-49,45-49,intimate,4
nh_white,hispanic,45-49,45-49,unknown,1
nh_white,hispanic,45-49,50-54,intimate,1
nh_white,hispanic,45-49,50-54,stranger,1
nh_white,hispanic,45-49,55-59,unknown,1
nh_white,hispanic,45-49,60-64,acquaintance,2
nh_white,hispanic,45-49,70-74,acquaintance,1
nh_white,hispanic,45-49,75-79,acquaintance,1
nh_white,hispanic,45-49,unknown,unknown,1
nh_white,hispanic,5-9,20-24,family,1
nh_white,hispanic,5-9,40-44,unknown,1
nh_white,hispanic,5-9,45-49,stranger,1
nh_white,hispanic,5-9,5-9,acquaintance,1
nh_white,hispanic,50-54,15-19,acquaintance,1
nh_white,hispanic,50-54,15-19,stranger,1
nh_white,hispanic,50-54,20-24,acquaintance,1
nh_white,hispanic,50-54,20-24,stranger,1
nh_white,hispanic,50-54,20-24,unknown,1
nh_white,hispanic,50-54,25-29,acquaintance,1
nh_white,hispanic,50-54,25-29,unknown,1
nh_white,hispanic,50-54,30-34,acquaintance,1
nh_white,hispanic,50-54,30-34,stranger,1
nh_white,hispanic,50-54,35-39,acquaintance,2
nh_white,hispanic,50-54,35-39,intimate,1
nh_white,hispanic,50-54,40-44,acquaintance,1
nh_white,hispanic,50-54,50-54,acquaintance,1
nh_white,hispanic,50-54,50-54,stranger,1
nh_white,hispanic,50-54,55-59,intimate,2
nh_white,hispanic,50-54,60-64,acquaintance,1
nh_white,hispanic,50-54,60-64,unknown,1
nh_white,hispanic,50-54,70-74,acquaintance,1
nh_white,hispanic,50-54,unknown,acquaintance,1
nh_white,hispanic,55-59,20-24,family,1
nh_white,hispanic,55-59,25-29,acquaintance,1
nh_white,hispanic,55-59,25-29,family,1
nh_white,hispanic,55-59,25-29,stranger,2
nh_white,hispanic,55-59,30-34,acquaintance,1
nh_white,hispanic,55-59,30-34,family,1
nh_white,hispanic,55-59,35-39,family,2
nh_white,hispanic,55-59,35-39,intimate,2
nh_white,hispanic,55-59,35-39,stranger,2
nh_white,hispanic,55-59,40-44,acquaintance,1
nh_white,hispanic,55-59,40-44,family,1
nh_white,hispanic,55-59,40-44,intimate,2
nh_white,hispanic,55-59,45-49,acquaintance,1
nh_white,hispanic,55-59,45-49,unknown,1
nh_white,hispanic,55-59,50-54,acquaintance,2
nh_white,hispanic,55-59,50-54,intimate,1
nh_white,hispanic,55-59,55-59,intimate,1
nh_white,hispanic,55-59,80-84,intimate,1
nh_white,hispanic,60-64,20-24,acquaintance,1
nh_white,hispanic,60-64,25-29,family,1
nh_white,hispanic,60-64,30-34,family,1
nh_white,hispanic,60-64,30-34,stranger,1
nh_white,hispanic,60-64,35-39,acquaintance,1
nh_white,hispanic,60-64,35-39,intimate,1
nh_white,hispanic,60-64,35-39,stranger,1
nh_white,hispanic,60-64,40-44,stranger,1
nh_white,hispanic,60-64,55-59,acquaintance,1
nh_white,hispanic,60-64,55-59,family,1
nh_white,hispanic,60-64,55-59,intimate,1
nh_white,hispanic,60-64,55-59,stranger,1
nh_white,hispanic,60-64,60-64,unknown,1
nh_white,hispanic,60-64,65-69,stranger,1
nh_white,hispanic,60-64,75-79,acquaintance,1
nh_white,hispanic,60-64,75-79,family,1
nh_white,hispanic,65-69,20-24,family,1
nh_white,hispanic,65-69,25-29,acquaintance,1
nh_white,hispanic,65-69,25-29,stranger,1
nh_white,hispanic,65-69,35-39,acquaintance,1
nh_white,hispanic,65-69,35-39,family,1
nh_white,hispanic,65-69,35-39,unknown,1
nh_white,hispanic,65-69,40-44,acquaintance,1
nh_white,hispanic,65-69,40-44,stranger,1
nh_white,hispanic,65-69,50-54,stranger,1
nh_white,hispanic,65-69,55-59,intimate,1
nh_white,hispanic,65-69,65-69,acquaintance,1
nh_white,hispanic,65-69,65-69,intimate,1
nh_white,hispanic,65-69,70-74,acquaintance,1
nh_white,hispanic,65-69,70-74,intimate,1
nh_white,hispanic,70-74,20-24,stranger,1
nh_white,hispanic,70-74,40-44,family,1
nh_white,hispanic,70-74,45-49,acquaintance,1
nh_white,hispanic,70-74,50-54,family,1
nh_white,hispanic,70-74,55-59,acquaintance,1
nh_white,hispanic,70-74,70-74,acquaintance,1
nh_white,hispanic,75-79,30-34,acquaintance,1
nh_white,hispanic,75-79,50-54,acquaintance,1
nh_white,hispanic,75-79,55-59,acquaintance,1
nh_white,hispanic,75-79,65-69,stranger,1
nh_white,hispanic,80-84,20-24,family,1
nh_white,hispanic,80-84,55-59,family,1
nh_white,hispanic,80-84,65-69,family,1
nh_white,hispanic,85+,75-79,acquaintance,1
nh_white,hispanic,85+,80-84,acquaintance,1
nh_white,hispanic,85+,85+,intimate,1
nh_white,hispanic,unknown,25-29,family,1
nh_white,nh_black,0-4,20-24,acquaintance,2
nh_white,nh_black,0-4,20-24,family,4
nh_white,nh_black,0-4,25-29,acquaintance,1
nh_white,nh_black,0-4,25-29,family,4
nh_white,nh_black,0-4,30-34,acquaintance,2
nh_white,nh_black,0-4,30-34,family,1
nh_white,nh_black,0-4,35-39,acquaintance,1
nh_white,nh_black,0-4,35-39,family,1
nh_white,nh_black,0-4,40-44,family,2
nh_white,nh_black,0-4,55-59,acquaintance,2
nh_white,nh_black,10-14,20-24,acquaintance,1
nh_white,nh_black,10-14,60-64,family,1
nh_white,nh_black,10-14,unknown,unknown,1
nh_white,nh_black,15-19,10-14,stranger,1
nh_white,nh_black,15-19,15-19,acquaintance,20
nh_white,nh_black,15-19,15-19,stranger,5
nh_white,nh_black,15-19,15-19,unknown,5
nh_white,nh_black,15-19,20-24,acquaintance,9
nh_white,nh_black,15-19,20-24,intimate,1
nh_white,nh_black,15-19,20-24,stranger,1
nh_white,nh_black,15-19,20-24,unknown,2
nh_white,nh_black,15-19,25-29,stranger,4
nh_white,nh_black,15-19,25-29,unknown,1
nh_white,nh_black,15-19,30-34,unknown,1
nh_white,nh_black,15-19,40-44,unknown,3
nh_white,nh_black,15-19,45-49,stranger,2
nh_white,nh_black,15-19,50-54,stranger,2
nh_white,nh_black,15-19,50-54,unknown,2
nh_white,nh_black,15-19,60-64,stranger,1
nh_white,nh_black,15-19,65-69,stranger,1
nh_white,nh_black,20-24,10-14,unknown,1
nh_white,nh_black,20-24,15-19,acquaintance,6
nh_white,nh_black,20-24,15-19,intimate,2
nh_white,nh_black,20-24,15-19,unknown,3
nh_white,nh_black,20-24,20-24,acquaintance,15
nh_white,nh_black,20-24,20-24,intimate,2
nh_white,nh_black,20-24,20-24,stranger,5
nh_white,nh_black,20-24,20-24,unknown,3
nh_white,nh_black,20-24,25-29,acquaintance,4
nh_white,nh_black,20-24,25-29,intimate,4
nh_white,nh_black,20-24,25-29,stranger,3
nh_white,nh_black,20-24,25-29,unknown,3
nh_white,nh_black,20-24,30-34,acquaintance,2
nh_white,nh_black,20-24,30-34,unknown,3
nh_white,nh_black,20-24,35-39,stranger,3
nh_white,nh_black,20-24,35-39,unknown,3
nh_white,nh_black,20-24,40-44,acquaintance,2
nh_white,nh_black,20-24,40-44,unknown,2
nh_white,nh_black,20-24,45-49,stranger,3
nh_white,nh_black,20-24,50-54,acquaintance,3
nh_white,nh_black,20-24,80-84,acquaintance,1
nh_white,nh_black,25-29,15-19,acquaintance,2
nh_white,nh_black,25-29,15-19,unknown,1
nh_white,nh_black,25-29,20-24,acquaintance,5
