county_fips,cbsa,cbsa_title,is_metro
13217,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13219,12020,"Athens-Clarke County, GA",1
13221,12020,"Athens-Clarke County, GA",1
13223,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13225,47580,"Warner Robins, GA",1
13227,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13229,48180,"Waycross, GA",0
13231,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13233,16340,"Cedartown, GA",0
13235,47580,"Warner Robins, GA",1
13245,12260,"Augusta-Richmond County, GA-SC",1
13247,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13249,11140,"Americus, GA",0
13255,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13257,45740,"Toccoa, GA",0
13261,11140,"Americus, GA",0
13273,10500,"Albany, GA",1
13275,45620,"Thomasville, GA",0
13277,45700,"Tifton, GA",0
13279,47080,"Vidalia, GA",0
13285,29300,"LaGrange, GA",0
13289,31420,"Macon, GA",1
13293,45580,"Thomaston, GA",0
13295,16860,"Chattanooga, TN-GA",1
13297,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13299,48180,"Waycross, GA",0
13305,27700,"Jesup, GA",0
13313,19140,"Dalton, GA",1
13321,10500,"Albany, GA",1
15001,25900,"Hilo, HI",0
15003,46520,"Urban Honolulu, HI",1
15005,27980,"Kahului-Wailuku-Lahaina, HI",1
15007,28180,"Kapaa, HI",0
15009,27980,"Kahului-Wailuku-Lahaina, HI",1
16001,14260,"Boise City, ID",1
16005,38540,"Pocatello, ID",1
16011,13940,"Blackfoot, ID",0
16013,25200,"Hailey, ID",0
16015,14260,"Boise City, ID",1
16017,41760,"Sandpoint, ID",0
16019,26820,"Idaho Falls, ID",1
16023,26820,"Idaho Falls, ID",1
16025,25200,"Hailey, ID",0
16027,14260,"Boise City, ID",1
16031,15420,"Burley, ID",0
16039,34300,"Mountain Home, ID",0
16041,30860,"Logan, UT-ID",1
16043,39940,"Rexburg, ID",0
16045,14260,"Boise City, ID",1
16051,26820,"Idaho Falls, ID",1
16053,46300,"Twin Falls, ID",0
16055,17660,"Coeur d'Alene, ID",1
16057,34140,"Moscow, ID",0
16063,25200,"Hailey, ID",0
16065,39940,"Rexburg, ID",0
16067,15420,"Burley, ID",0
16069,30300,"Lewiston, ID-WA",1
16073,14260,"Boise City, ID",1
16075,36620,"Ontario, OR-ID",0
16081,27220,"Jackson, WY-ID",0
16083,46300,"Twin Falls, ID",0
17001,39500,"Quincy, IL-MO",0
17003,16020,"Cape Girardeau, MO-IL",1
17005,41180,"St. Louis, MO-IL",1
17007,40420,"Rockford, IL",1
17011,36860,"Ottawa-Peru, IL",0
17013,41180,"St. Louis, MO-IL",1
17019,16580,"Champaign-Urbana, IL",1
17021,45380,"Taylorville, IL",0
17027,41180,"St. Louis, MO-IL",1
17029,16660,"Charleston-Mattoon, IL",0
17031,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17035,16660,"Charleston-Mattoon, IL",0
17037,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17039,14010,"Bloomington, IL",1
17043,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17049,20820,"Effingham, IL",0
17053,16580,"Champaign-Urbana, IL",1
17057,15900,"Canton, IL",0
17063,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17067,22800,"Fort Madison-Keokuk, IA-IL-MO",0
17071,15460,"Burlington, IA-IL",0
17073,19340,"Davenport-Moline-Rock Island, IA-IL",1
17077,16060,"Carbondale-Marion, IL",1
17081,34500,"Mount Vernon, IL",0
17083,41180,"St. Louis, MO-IL",1
17089,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17091,28100,"Kankakee, IL",1
17093,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17095,23660,"Galesburg, IL",0
17097,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17099,36860,"Ottawa-Peru, IL",0
17103,19940,"Dixon, IL",0
17105,38700,"Pontiac, IL",0
17107,30660,"Lincoln, IL",0
17109,31380,"Macomb, IL",0
17111,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17113,14010,"Bloomington, IL",1
17115,19500,"Decatur, IL",1
17117,41180,"St. Louis, MO-IL",1
17119,41180,"St. Louis, MO-IL",1
17121,16460,"Centralia, IL",0
17123,37900,"Peoria, IL",1
17127,37140,"Paducah, KY-IL",0
17129,44100,"Springfield, IL",1
17131,19340,"Davenport-Moline-Rock Island, IA-IL",1
17133,41180,"St. Louis, MO-IL",1
17137,27300,"Jacksonville, IL",0
17141,40300,"Rochelle, IL",0
17143,37900,"Peoria, IL",1
17147,16580,"Champaign-Urbana, IL",1
17155,36860,"Ottawa-Peru, IL",0
17161,19340,"Davenport-Moline-Rock Island, IA-IL",1
17163,41180,"St. Louis, MO-IL",1
17167,44100,"Springfield, IL",1
17171,27300,"Jacksonville, IL",0
17175,37900,"Peoria, IL",1
17177,23300,"Freeport, IL",0
17179,37900,"Peoria, IL",1
17183,19180,"Danville, IL",1
17195,44580,"Sterling, IL",0
17197,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
17199,16060,"Carbondale-Marion, IL",1
17201,40420,"Rockford, IL",1
17203,37900,"Peoria, IL",1
18001,19540,"Decatur, IN",0
18003,23060,"Fort Wayne, IN",1
18005,18020,"Columbus, IN",1
18007,29200,"Lafayette-West Lafayette, IN",1
18011,26900,"Indianapolis-Carmel-Anderson, IN",1
18013,26900,"Indianapolis-Carmel-Anderson, IN",1
18015,29200,"Lafayette-West Lafayette, IN",1
18017,30900,"Logansport, IN",0
18019,31140,"Louisville/Jefferson County, KY-IN",1
18021,45460,"Terre Haute, IN",1
18023,23140,"Frankfort, IN",0
18027,47780,"Washington, IN",0
18029,17140,"Cincinnati, OH-KY-IN",1
18031,24700,"Greensburg, IN",0
18033,12140,"Auburn, IN",0
18035,34620,"Muncie, IN",1
18037,27540,"Jasper, IN",0
18039,21140,"Elkhart-Goshen, IN",1
18041,18220,"Connersville, IN",0
18043,31140,"Louisville/Jefferson County, KY-IN",1
18053,31980,"Marion, IN",0
18057,26900,"Indianapolis-Carmel-Anderson, IN",1
18059,26900,"Indianapolis-Carmel-Anderson, IN",1
18061,31140,"Louisville/Jefferson County, KY-IN",1
18063,26900,"Indianapolis-Carmel-Anderson, IN",1
18065,35220,"New Castle, IN",0
18067,29020,"Kokomo, IN",1
18069,26540,"Huntington, IN",0
18071,42980,"Seymour, IN",0
18073,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
18077,31500,"Madison, IN",0
18079,35860,"North Vernon, IN",0
18081,26900,"Indianapolis-Carmel-Anderson, IN",1
18083,47180,"Vincennes, IN",0
18085,47700,"Warsaw, IN",0
18089,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
18091,33140,"Michigan City-La Porte, IN",1
18093,13260,"Bedford, IN",0
18095,26900,"Indianapolis-Carmel-Anderson, IN",1
18097,26900,"Indianapolis-Carmel-Anderson, IN",1
18099,38500,"Plymouth, IN",0
18103,37940,"Peru, IN",0
18105,14020,"Bloomington, IN",1
18107,18820,"Crawfordsville, IN",0
18109,26900,"Indianapolis-Carmel-Anderson, IN",1
18111,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
18113,28340,"Kendallville, IN",0
18115,17140,"Cincinnati, OH-KY-IN",1
18119,14020,"Bloomington, IN",1
18125,27540,"Jasper, IN",0
18127,16980,"Chicago-Naperville-Elgin, IL-IN-WI",1
18129,21780,"Evansville, IN-KY",1
18133,26900,"Indianapolis-Carmel-Anderson, IN",1
18141,43780,"South Bend-Mishawaka, IN-MI",1
18143,31140,"Louisville/Jefferson County, KY-IN",1
18145,26900,"Indianapolis-Carmel-Anderson, IN",1
18151,11420,"Angola, IN",0
18153,45460,"Terre Haute, IN",1
18157,29200,"Lafayette-West Lafayette, IN",1
18161,17140,"Cincinnati, OH-KY-IN",1
18163,21780,"Evansville, IN-KY",1
18165,45460,"Terre Haute, IN",1
18167,45460,"Terre Haute, IN",1
18169,47340,"Wabash, IN",0
18173,21780,"Evansville, IN-KY",1
18175,31140,"Louisville/Jefferson County, KY-IN",1
18177,39980,"Richmond, IN",0
18179,23060,"Fort Wayne, IN",1
18183,23060,"Fort Wayne, IN",1
19011,16300,"Cedar Rapids, IA",1
19013,47940,"Waterloo-Cedar Falls, IA",1
19015,14340,"Boone, IA",0
19017,47940,"Waterloo-Cedar Falls, IA",1
19021,44740,"Storm Lake, IA",0
19033,32380,"Mason City, IA",0
19041,43980,"Spencer, IA",0
19045,17540,"Clinton, IA",0
19049,19780,"Des Moines-West Des Moines, IA",1
19051,36900,"Ottumwa, IA",0
19057,15460,"Burlington, IA-IL",0
19059,44020,"Spirit Lake, IA",0
19061,20220,"Dubuque, IA",1
19075,47940,"Waterloo-Cedar Falls, IA",1
19077,19780,"Des Moines-West Des Moines, IA",1
19085,36540,"Omaha-Council Bluffs, NE-IA",1
19099,35500,"Newton, IA",0
19101,21840,"Fairfield, IA",0
19103,26980,"Iowa City, IA",1
19105,16300,"Cedar Rapids, IA",1
19111,22800,"Fort Madison-Keokuk, IA-IL-MO",0
19113,16300,"Cedar Rapids, IA",1
19121,19780,"Des Moines-West Des Moines, IA",1
19123,36820,"Oskaloosa, IA",0
19127,32260,"Marshalltown, IA",0
19129,36540,"Omaha-Council Bluffs, NE-IA",1
19139,34700,"Muscatine, IA",0
19149,43580,"Sioux City, IA-NE-SD",1
19153,19780,"Des Moines-West Des Moines, IA",1
19155,36540,"Omaha-Council Bluffs, NE-IA",1
19163,19340,"Davenport-Moline-Rock Island, IA-IL",1
19169,11180,"Ames, IA",1
19179,36900,"Ottumwa, IA",0
19181,19780,"Des Moines-West Des Moines, IA",1
19183,26980,"Iowa City, IA",1
19187,22700,"Fort Dodge, IA",0
19193,43580,"Sioux City, IA-NE-SD",1
19195,32380,"Mason City, IA",0
20005,11860,"Atchison, KS",0
20009,24460,"Great Bend, KS",0
20015,48620,"Wichita, KS",1
20035,11680,"Arkansas City-Winfield, KS",0
20037,38260,"Pittsburg, KS",0
20043,41140,"St. Joseph, MO-KS",1
20045,29940,"Lawrence, KS",1
20051,25700,"Hays, KS",0
20055,23780,"Garden City, KS",0
20057,19980,"Dodge City, KS",0
20059,36840,"Ottawa, KS",0
20061,27920,"Junction City, KS",0
20079,48620,"Wichita, KS",1
20085,45820,"Topeka, KS",1
20087,45820,"Topeka, KS",1
20091,28140,"Kansas City, MO-KS",1
20093,23780,"Garden City, KS",0
20095,48620,"Wichita, KS",1
20099,37660,"Parsons, KS",0
20103,28140,"Kansas City, MO-KS",1
20107,28140,"Kansas City, MO-KS",1
20111,21380,"Emporia, KS",0
20113,32700,"McPherson, KS",0
20121,28140,"Kansas City, MO-KS",1
20125,17700,"Coffeyville, KS",0
20139,45820,"Topeka, KS",1
20143,41460,"Salina, KS",0
20149,31740,"Manhattan, KS",1
20155,26740,"Hutchinson, KS",0
20161,31740,"Manhattan, KS",1
20169,41460,"Salina, KS",0
20173,48620,"Wichita, KS",1
20175,30580,"Liberal, KS",0
20177,45820,"Topeka, KS",1
20191,48620,"Wichita, KS",1
20197,45820,"Topeka, KS",1
20209,28140,"Kansas City, MO-KS",1
21003,14540,"Bowling Green, KY",1
21005,23180,"Frankfort, KY",0
21007,37140,"Paducah, KY-IL",0
21009,23980,"Glasgow, KY",0
21011,34460,"Mount Sterling, KY",0
21013,33180,"Middlesborough, KY",0
21015,17140,"Cincinnati, OH-KY-IN",1
21017,30460,"Lexington-Fayette, KY",1
21019,26580,"Huntington-Ashland, WV-KY-OH",1
21021,19220,"Danville, KY",0
21023,17140,"Cincinnati, OH-KY-IN",1
21029,31140,"Louisville/Jefferson County, KY-IN",1
21031,14540,"Bowling Green, KY",1
21035,34660,"Murray, KY",0
21037,17140,"Cincinnati, OH-KY-IN",1
21047,17300,"Clarksville, TN-KY",1
21049,30460,"Lexington-Fayette, KY",1
21059,36980,"Owensboro, KY",1
21061,14540,"Bowling Green, KY",1
21067,30460,"Lexington-Fayette, KY",1
21073,23180,"Frankfort, KY",0
21075,46460,"Union City, TN-KY",0
21077,17140,"Cincinnati, OH-KY-IN",1
21081,17140,"Cincinnati, OH-KY-IN",1
21083,32460,"Mayfield, KY",0
21089,26580,"Huntington-Ashland, WV-KY-OH",1
21091,36980,"Owensboro, KY",1
21093,21060,"Elizabethtown-Fort Knox, KY",1
21101,21780,"Evansville, IN-KY",1
21103,31140,"Louisville/Jefferson County, KY-IN",1
21107,31580,"Madisonville, KY",0
21111,31140,"Louisville/Jefferson County, KY-IN",1
21113,30460,"Lexington-Fayette, KY",1
21117,17140,"Cincinnati, OH-KY-IN",1
21121,30940,"London, KY",0
21123,21060,"Elizabethtown-Fort Knox, KY",1
21125,30940,"London, KY",0
21137,19220,"Danville, KY",0
21139,37140,"Paducah, KY-IL",0
21145,37140,"Paducah, KY-IL",0
21149,36980,"Owensboro, KY",1
21151,40080,"Richmond-Berea, KY",0
21161,32500,"Maysville, KY",0
21163,21060,"Elizabethtown-Fort Knox, KY",1
21165,34460,"Mount Sterling, KY",0
21169,23980,"Glasgow, KY",0
21173,34460,"Mount Sterling, KY",0
21179,12680,"Bardstown, KY",0
21185,31140,"Louisville/Jefferson County, KY-IN",1
21191,17140,"Cincinnati, OH-KY-IN",1
21199,43700,"Somerset, KY",0
21203,40080,"Richmond-Berea, KY",0
21209,30460,"Lexington-Fayette, KY",1
21211,31140,"Louisville/Jefferson County, KY-IN",1
21215,31140,"Louisville/Jefferson County, KY-IN",1
21217,15820,"Campbellsville, KY",0
21221,17300,"Clarksville, TN-KY",1
21223,31140,"Louisville/Jefferson County, KY-IN",1
21227,14540,"Bowling Green, KY",1
21235,30940,"London, KY",0
21239,30460,"Lexington-Fayette, KY",1
22001,29180,"Lafayette, LA",1
22005,12940,"Baton Rouge, LA",1
22011,19760,"DeRidder, LA",0
22015,43340,"Shreveport-Bossier City, LA",1
22017,43340,"Shreveport-Bossier City, LA",1
22019,29340,"Lake Charles, LA",1
22023,29340,"Lake Charles, LA",1
22029,35020,"Natchez, MS-LA",0
22031,43340,"Shreveport-Bossier City, LA",1
22033,12940,"Baton Rouge, LA",1
22037,12940,"Baton Rouge, LA",1
22043,10780,"Alexandria, LA",1
