file,line,quoted_number,claim,class,source_path,source_value,note
research/immigration-INDEX.md,89,.735 / .836,school spending elasticity within districts (unweighted/pupil-weighted),VERIFIED,infra/immigration-fiscal/scaling_test_2026_09_20/derived/school_estimates.csv,0.7354 / 0.8356,
research/immigration-INDEX.md,90,Ten,state-service within-panel estimates,VERIFIED,infra/immigration-fiscal/scaling_test_2026_09_20/derived/state/estimates.csv,10 functions,
research/immigration-INDEX.md,97,72 MB,BEA/IRS county panel,VERIFIED,research/immigration-policy-causal-evidence-2026-09-20.md:148; causal_evidence_2026_09_20/README.md:78,72120892 bytes,
research/immigration-INDEX.md,106,2.870m,observed G3 (Mexican grandparent),VERIFIED,infra/immigration-fiscal/generation_split_2026_09_20/derived/cps_generation_split.csv,2.870 (reported_linkage all G3_Mexico_GP_observed),
research/immigration-INDEX.md,106,2.073m,observed G4+,VERIFIED,infra/immigration-fiscal/generation_split_2026_09_20/derived/cps_generation_split.csv,2.073,
research/immigration-INDEX.md,106,9.399m,unresolved within G3+,VERIFIED,infra/immigration-fiscal/generation_split_2026_09_20/derived/cps_generation_split.csv,9.399,
research/immigration-INDEX.md,107,25–32k,adjacent-year CPS candidates,VERIFIED,infra/immigration-fiscal/generation_split_2026_09_20/derived/recovery/cps_adjacent_generation_candidates_20260920.csv,union strict 3340+21709=25049; union 10656+21709=32365,
research/immigration-INDEX.md,111,3.51–3.83m,generic G4+ adults central (MAR_known_age),VERIFIED,infra/immigration-fiscal/generation_estimation_2026_09_20/derived/standardized_scenarios.csv,3.506–3.828,
research/immigration-INDEX.md,112,2.71–4.71m,missing-age and grandparent scenarios,VERIFIED,infra/immigration-fiscal/generation_estimation_2026_09_20/derived/standardized_scenarios.csv,2.712–4.705,
research/immigration-INDEX.md,127,$259.38bn shared /$283.20bn personal,partial deficit after measured enrollment,VERIFIED,infra/immigration-fiscal/school_enrollment_2026_09_20/derived/annual_balance.csv,−259.379 (all_ages shared) / −283.200 (all_ages personal),intermediate release; superseded by complete account (INDEX says so)
research/immigration-INDEX.md,134,63–64%,share of all-child CA/TX school gap from fixed enrollment rate,VERIFIED,research/immigration-gap-diagnosis-and-data-2026-09-19.md:54-60,CA 293.5/464.9=63.1%; TX 262.1/408.5=64.2%,memo table; lane CSV not re-opened
research/immigration-INDEX.md,135,almost all,national Hispanic school shortfall from fixed rate,VERIFIED,research/immigration-gap-diagnosis-and-data-2026-09-19.md:57,rate term −928.5 of −926.1 total,
research/immigration-INDEX.md,142,2.25%,national CPS wages above SSA employer records,VERIFIED,research/immigration-administrative-checks-2026-09-19.md:34,11998.978/11734.670−1=2.252%,
research/immigration-INDEX.md,155,$234.34bn shared/$256.26bn personal,Sept 19 finance-refresh annual version,VERIFIED,infra/immigration-fiscal/school_enrollment_2026_09_20/derived/annual_balance.csv,baseline_balance −234.339 / −256.263,
research/immigration-INDEX.md,158,$6–19bn,long-run production gains source-centered grid,VERIFIED,infra/immigration-fiscal/matched_benefits_2026_09_19/derived/scenarios.csv,6.37–19.21 (capital_adjustment=1; hs_or_less; lse=0),
research/immigration-INDEX.md,165,$13–26bn,illustrative fixed-capital benefit channel,VERIFIED,infra/immigration-fiscal/benefit_scale_2026_09_19/derived/surplus_scenarios.csv,12.94–25.54,
research/immigration-INDEX.md,169,$217.32bn/$239.24bn,Sept 19 ledger annual source vintage,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_profiles.csv,sum net_total expanded union: shared −217.316 / personal −239.241,
research/immigration-INDEX.md,173,−$290bn to −$190bn,practitioner hull Sept 19 ledger,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,−290.48 to −190.12,
research/immigration-INDEX.md,173,−$217bn,ledger central,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,−217.32,same value L169 calls a superseded annual vintage; both statements hold (ledger is pinned Sept 19 and is the only generation-split source) but the juxtaposition can mislead
research/immigration-INDEX.md,173,−$496bn to −$76bn,63-cell design hull,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,−496.24 to −76.13,
research/immigration-INDEX.md,174,−$548/−$87bn,stale Sept 17 144-cell range still in ledger RESULT.md,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/RESULT.md,−548/−87 (stale; correctly labelled stale here),
research/immigration-INDEX.md,175,−$502 to −$402bn,public goods per capita second object,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,−502.13 to −401.77,
research/immigration-INDEX.md,199,+0.29 vs −2.80,composition vs own swing (national Dem share),VERIFIED,infra/immigration-fiscal/political_trajectory_county_2026_09_19/RESULT.md:129-130,+0.29 (2004→2024) / −2.80 (2012→2024),windows differ (20 vs 12 years); row does not say so
research/immigration-INDEX.md,199,66 vs 23,CA vs TX Dem share in low-Mexican counties,VERIFIED,infra/immigration-fiscal/political_trajectory_county_2026_09_19/RESULT.md:26,66.0 / 23.1,
research/immigration-INDEX.md,200,−$1.30M,lineage gap vs white reference,VERIFIED,infra/immigration-fiscal/lineage_cost_2026_09_19/derived/lineage_table.csv row1 gap_lineage,-1297150,ladder 159 marks it retained historical conditional scenario; row says so
research/immigration-INDEX.md,200,101 original intervals,annual intervals of 0–100 horizon,VERIFIED,research/immigration-lineage-cost-century-2026-09-19.md:10,101,
research/immigration-INDEX.md,201,40.97M,self-ID union CPS ASEC 2025,VERIFIED,research/immigration-mexican-origin-population-total-2026-09-19.md §1,40.968M (SE 0.379),
research/immigration-INDEX.md,201,42–45M / floor 41.8M,attrition+coverage totals,VERIFIED,same §1 table,42.780M central / 45.077M / floor 41.770M,
research/immigration-INDEX.md,201,11% vs 28%,third-generation attrition vs Duncan–Trejo,VERIFIED,same verdict,identifies 88.8% vs 71.8% → 11.2% vs 28.2%,
research/immigration-INDEX.md,201,"−$6,864",per-person gap with attriters,STALE,infra/immigration-fiscal/mexican_origin_population_total_2026_09_19/derived/arm5_fiscal_implication.csv row 5,-6864.1 on base -7105.5 from all_age_ledger_2026_09_17,Matches its source; base is the Sept 17 all-age ledger not the pinned Sept 19 ledger_absolute; same arm on complete_gaps.csv union common-age gap (-7151.9; third-plus -6194.6) gives -6921; small ($57) but the FAQ sets it beside Sept 19 figures
research/immigration-INDEX.md,201,0.82,CPS Hispanic coverage ratio (trap),VERIFIED,research/immigration-mexican-origin-population-total-2026-09-19.md verdict,0.82,
research/immigration-INDEX.md,202,14.6–16.7M,broad unauthorized 2024–25,VERIFIED,research/immigration-unauthorized-population-size-2026-09-19.md verdict,14.6–15.8M mid-2024; 15.4–16.7M Jan 2025,
research/immigration-INDEX.md,202,8–9.5M,narrow definition,VERIFIED,same,8–9.5M,
research/immigration-INDEX.md,202,PES 4.99% vs CMS 22%,coverage grid,VERIFIED,same,PES 4.99% (×1.05) vs CMS multiplier 1.22,CMS figure is a multiplier 1.22 not a 22% undercount rate; wording compresses it
research/immigration-INDEX.md,202,16.7M Jan 2025,stock-flow identity,VERIFIED,same,16.7M,
research/immigration-INDEX.md,202,no definition reaches 40M,40M ladder,VERIFIED,same,max unauthorized-adjacent 38.1M,
research/immigration-INDEX.md,203,0.72–0.74,creative labour per head vs whites matched SES,VERIFIED,infra/immigration-fiscal/cultural_output_2026_09_19/derived/arm_a_creative_rates.csv,0.7226 USMEX / 0.7423 MEXBORN,
research/immigration-INDEX.md,203,0.47→0.65,awards vs BA+ benchmark,VERIFIED,research/immigration-cultural-output-and-variety-saturation-2026-09-19.md verdict,2.91/6.2=0.469; 6.25/9.6=0.651,
research/immigration-INDEX.md,203,elasticity 0.18,Mexican-restaurant variety elasticity,VERIFIED,infra/immigration-fiscal/cultural_output_2026_09_19/derived/arm_d_elasticity.csv complete_states_only,0.181 (SE 0.030),primary spec is complete-states sample; all-CBSA spec gives 0.384 with positive placebos
research/immigration-INDEX.md,203,10–20% local share,saturation point,VERIFIED,memo verdict,3/4 of max by 10%; flat above 20%,
research/immigration-INDEX.md,203,12%,US cooks Mexico-born,VERIFIED,memo verdict,12.05%,
research/immigration-INDEX.md,203,8–9%,Latin music revenue share,VERIFIED,memo verdict,8.1–8.8%,
research/immigration-INDEX.md,204,six coefficients,hedonic replay recovers Table 1,VERIFIED,research/immigration-hedonic-replay-2026-09-19.md verdict,all six,
research/immigration-INDEX.md,208,$90.91,Hispanic CJS scenario per resident-year,VERIFIED,infra/immigration-fiscal/ncvs_victim_offender_2026_09_18/derived/inter_group_cost_transfer.csv,90.912,
research/immigration-INDEX.md,209,24-seat,apportionment counterfactual,VERIFIED,infra/immigration-fiscal/apportionment_2026_09_18/RESULT.md:45,24 seats (2020),
research/immigration-INDEX.md,211,−$290 to −$190bn,practitioner hull,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,-290.48 / -190.12,
research/immigration-INDEX.md,211,−$217bn,central,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,-217.32,
research/immigration-INDEX.md,211,−$496 to −$76bn,63-cell design hull,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,-496.24 / -76.13,
research/immigration-INDEX.md,211,+$41bn,design with dial at zero,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,40.86,
research/immigration-INDEX.md,211,−$502 to −$402bn,public-goods second object,VERIFIED,infra/immigration-fiscal/ledger_recut_2026_09_22/derived/hulls.csv,-502.13 / -401.77,
research/immigration-INDEX.md,212,1.27 (CI 0.97–1.56),MCBS Hispanic/white public payments 65+,VERIFIED,infra/immigration-fiscal/mcbs_elderly_medical_2026_09_22/derived/ratios.csv,1.265 (0.966–1.564),
research/immigration-INDEX.md,212,Medicaid 9×,MCBS Medicaid ratio 65+,VERIFIED,infra/immigration-fiscal/mcbs_elderly_medical_2026_09_22/derived/ratios.csv,9.16,
research/immigration-INDEX.md,212,total spending equal,MCBS all-source ratio,VERIFIED,infra/immigration-fiscal/mcbs_elderly_medical_2026_09_22/derived/ratios.csv,0.994,
research/immigration-INDEX.md,212,−40% to +56%,65+ ethnicity dimension across MEPS and MCBS,VERIFIED,meps ratios.csv 65+ all_donors public ci_lo 0.610; mcbs ci_hi 1.564,-39% / +56%,−40 is a rounding of −39.0
research/immigration-INDEX.md,213,0.89 (CI 0.61–1.18),MEPS Mexican-origin/all-donor public 65+,VERIFIED,infra/immigration-fiscal/meps_mexican_origin_medical_2026_09_22/derived/ratios.csv,0.893 (0.610–1.177),
research/immigration-INDEX.md,213,0.69,MEPS 18–64 public ratio,VERIFIED,infra/immigration-fiscal/meps_mexican_origin_medical_2026_09_22/derived/ratios.csv,0.688 (0.50–0.87),pooled both/all_donors
research/immigration-INDEX.md,213,Medicaid 3.3×,MEPS Medicaid vs white 65+,VERIFIED,infra/immigration-fiscal/meps_mexican_origin_medical_2026_09_22/derived/ratios.csv,3.33,denominator is NH white not all donors (1.83); row does not name it
research/immigration-INDEX.md,213,$2.7bn less (SE 6.7),65+ ledger translation,VERIFIED,infra/immigration-fiscal/meps_mexican_origin_medical_2026_09_22/derived/ledger_translation.csv,2.735 (SE 6.694),
research/immigration-INDEX.md,214,+$27.1 / +$17.9bn,nest at eps=3 GDP/cash,VERIFIED,infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,27.13 / 17.90,
research/immigration-INDEX.md,214,+$13.3 / +$8.8bn,perfect-substitution term,VERIFIED,infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,13.32 / 8.79,
research/immigration-INDEX.md,214,natives +$54bn / other FB −$46bn,eps=3 split,VERIFIED,infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,53.97 / -45.93,GDP-scaling row
research/immigration-INDEX.md,214,about 85%,share netting inside beneficiaries,VERIFIED,derived from nest_headline.csv,45.93/53.97 = 0.851,
research/immigration-INDEX.md,215,about one year less schooling,returnee minus stayer years,VERIFIED,infra/immigration-fiscal/enadid_return_selectivity_2026_09_22/derived/return_migrants_by_schooling.csv,-1.22 (2018) / -1.03 (2023),
research/immigration-INDEX.md,215,tertiary −12 to −14 points,returnee minus stayer tertiary,VERIFIED,infra/immigration-fiscal/enadid_return_selectivity_2026_09_22/derived/return_migrants_by_schooling.csv,-13.8 / -12.3,
research/immigration-INDEX.md,215,men only,sex split,VERIFIED,same,men -1.59/-1.33 yrs; women -0.08/+0.05,
research/immigration-INDEX.md,215,22–28% tertiary,short-window returnees,VERIFIED,infra/immigration-fiscal/enadid_return_selectivity_2026_09_22/RESULT.md:174,28.13 (2018) / 22.58 (2023),
research/immigration-INDEX.md,218,0.79,Texas FB cost-weighted charge ratio,VERIFIED,research/immigration-first-generation-crime-cost-weighted-2026-09-18.md:7,0.79,
research/immigration-INDEX.md,228,3.5×,Rumbaut 2000 ratio,VERIFIED,research/immigration-mexican-origin-generation-incarceration-2026-09-16.md retained verdict,5.90/1.71=3.45,
research/immigration-INDEX.md,228,1.7–1.9×,recomputed ACS ratio,VERIFIED,same memo + line 43,1.72 (2023) 1.91 (2019) 1.94 (2024); 2.1–2.3× reallocated,institutional GQ not incarceration per the memo's 2026-09-20 correction; row omits the reallocated 2.1–2.3×
research/immigration-INDEX.md,228,1.68× pooled 2020–24,pooled ratio,VERIFIED,same memo:99,1.68,
research/immigration-INDEX.md,228,−$8.3k to −$8.9k,second-generation extended per-adult-year ledger,STALE,research/immigration-mexican-origin-generation-incarceration-2026-09-16.md §12 table (−8286 → −8901),matches memo; Sept 16 partial ledger superseded by pinned Sept 19 ledger: same-age gap −7521 per person (SE 615) in ledger_absolute_2026_09_17/derived/complete_gaps.csv,different object (per adult 25–64 vs per person common-age); memo header says §12 is historical; the row does not flag it
research/immigration-INDEX.md,229,1.24 yr,parental legal status IRCA-IV,VERIFIED,research/immigration-secgen-origin-divergence-mechanisms-2026-09-16.md:60,1.24,
research/immigration-INDEX.md,242,2.2–2.5× every year,TX/CA permits per resident,MISMATCH,infra/immigration-fiscal/housing_supply_ca_tx_2026_09_22/derived/state_supply.csv,annual 1.37–3.66; period mean 2.21; mean of annual 2.46,'every year' false (below 2.2 in 2000–2006 and 2017); ladder 180 and memo carry same wording
research/immigration-INDEX.md,242,168-metro +0.030,rent growth per pp Mexican-origin share change within state,MISMATCH,infra/immigration-fiscal/housing_supply_ca_tx_2026_09_22/derived/metro_regressions.csv,+0.0303 (SE 0.0072) on n=152; +0.0025/yr on all 168,sample size misstated; 16 dropped metros more elastic
research/immigration-INDEX.md,243,2–5× larger,settlement vs ancestry IV,MISMATCH,infra/immigration-fiscal/housing_causal_2000_2010_2026_09_22/derived/estimates.csv,values 2.5×; rents 5.7×,RESULT.md line 8 same understatement
research/immigration-INDEX.md,277,12 verified datasets we don't have yet,roadmap count,STALE,research/immigration-dataset-register.md,SCAAP; Texas arrests; SPI 2016; USSC 2024 held; NIS 2003 analysed (ladder 179),roadmap statuses never updated
research/immigration-objections-faq-2026-09-21.md,9,$165–197bn,CBO-informed conditional net cost,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_summary.csv,165.12–197.38,
research/immigration-objections-faq-2026-09-21.md,9,$270–289bn,fully proportional services,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_summary.csv,269.81–288.72,
research/immigration-objections-faq-2026-09-21.md,11,"−$7,584 / −$7,521 / −$6,195",same-age gap vs 3rd+ NH white by generation,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/complete_gaps.csv,−7583.6 / −7521.4 / −6194.6,complete_common_age_gap_per_person
research/immigration-objections-faq-2026-09-21.md,12,SE 384 / 615 / 457,standard errors of the gaps,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/complete_gaps.csv,383.8 / 615.2 / 457.0,
research/immigration-objections-faq-2026-09-21.md,25,$8.8–13.3bn,production gain inside headline,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/headline_cases / infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,8.79 / 13.32,
research/immigration-objections-faq-2026-09-21.md,26,$21.8bn,prices and native hours,VERIFIED,research/immigration-consumer-price-and-native-hours-2026-09-18.md,23.8+8.7−10.7=21.8,routed
research/immigration-objections-faq-2026-09-21.md,27,$2.3–14.9bn,elder-care upper bound,MISMATCH,infra/immigration-fiscal/mr_leads_papers_2026_09_21/derived/elder_care_bound.csv,2.28–14.61 (5.63 preferred) with foreign-born-only numerators,script counts NATIVITY=1 Mexico-born (US citizens born abroad) in numerators whose denominators are NATIVITY=2 only; 2–3% overstatement
research/immigration-objections-faq-2026-09-21.md,27,$26.8–80.4bn,complementarity native gain,VERIFIED,research/immigration-marginal-revolution-leads-read-2026-09-21.md §3,26.8 / 38.6 / 80.4,
research/immigration-objections-faq-2026-09-21.md,38,30% under 18,steel-man age share,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_profiles.csv,12.12m/40.90m = 29.6%,
research/immigration-objections-faq-2026-09-21.md,39,"−$4,093",raw per-person difference from whites,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,"−4092.7 (shared, own ages)",
research/immigration-objections-faq-2026-09-21.md,40,"−$7,049 to −$8,716",gap at any common age structure,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,stationary −7048.7; white ages −7082.1; union ages −8716.4 (shared),"shared allocation only; personal gives −6,677 to −7,477"
research/immigration-objections-faq-2026-09-21.md,41,"+$3,403 / −$1,221",whites at Mexican-origin ages / own ages,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,+3402.6 / −1221.1,
research/immigration-objections-faq-2026-09-21.md,42,"about $4,600",value of young structure,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,4623.7,
research/immigration-objections-faq-2026-09-21.md,43,"−$7,049",life-course gap,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,−7048.7,
research/immigration-objections-faq-2026-09-21.md,52,75% / 25%,cbo_collective corporate incidence,VERIFIED,infra/immigration-fiscal/full_account_receipts_2026_09_20/sources.json,Corporate75/25,
research/immigration-objections-faq-2026-09-21.md,52,63–66%,school-spending response,VERIFIED,research/immigration-complete-annual-account-2026-09-20.md,"1−0.37=63%, 1−0.34=66%","repo arithmetic on CBO coefficients, not a CBO-published share"
research/immigration-objections-faq-2026-09-21.md,54,$4.8/12.1/24.2/48.3bn,general public services at 10/25/50/100%,VERIFIED,research/immigration-education-administration-scope-2026-09-20.md,4.83/12.07/24.15/48.29,
research/immigration-objections-faq-2026-09-21.md,56,$286bn,per-capita charging of three functions,VERIFIED,research/immigration-complete-annual-account-2026-09-20.md,285.61,
research/immigration-objections-faq-2026-09-21.md,57,−$41.5bn to +$112.7bn,all ordinary service budgets fixed,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/headline_summary.json,−41.53 to +112.67,
research/immigration-objections-faq-2026-09-21.md,58,18.5–25.8%,break-even incremental share,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/headline_summary.json,0.1851–0.2581,
research/immigration-objections-faq-2026-09-21.md,60,+0.2% (−1.8% to +2.2%),muni-bond revenue effect,VERIFIED,research/immigration-marginal-revolution-leads-read-2026-09-21.md §2,+0.2% (SE 1.0),
research/immigration-objections-faq-2026-09-21.md,69,"$3,506 / $977",Mexico-born lower cash / medical draw,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations_by_category.csv,3505.6 / 977.4,
research/immigration-objections-faq-2026-09-21.md,70,"$1,253 / $54",second-generation lower draw,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations_by_category.csv,1253.1 / 54.0,
research/immigration-objections-faq-2026-09-21.md,72,"$2,653 / $9,735",union lower spending / receipts,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,2653.0 / 9735.1,
research/immigration-objections-faq-2026-09-21.md,79,$8.8bn / $13.3bn; $6–21bn,production gains and grid,VERIFIED,research/immigration-complete-annual-account-2026-09-20.md,8.79/13.32; 5.98–21.08,
research/immigration-objections-faq-2026-09-21.md,81,$121–160bn,non-school education also fixed,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_summary.csv,120.79–160.31,
research/immigration-objections-faq-2026-09-21.md,92,"−$7,584 / −$7,521 / −$6,195",same-age gaps by generation,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/complete_gaps.csv,as line 11,
research/immigration-objections-faq-2026-09-21.md,93,$12.1k / $8.4k / $7.0k,tax shortfall by generation,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/age_normalizations.csv,"−12149 / −8395 / −6984 (shared, white ages)",
research/immigration-objections-faq-2026-09-21.md,94,−$280k / −$225k / −$96k,period-profile NPV at 3% from birth,VERIFIED,infra/immigration-fiscal/ledger_absolute_2026_09_17/derived/lifetime/period_profiles.csv,−279720 / −225309 / −96210,
research/immigration-objections-faq-2026-09-21.md,96,"−$6,066 → −$6,499",adult ledger re-run on ASEC 2026,VERIFIED,infra/immigration-fiscal/ledger_asec2026_2026_09_16/RESULT.md,"−6,066 (353) → −6,499 (489), 0.72 se","September 16 second-generation adult ledger, not the September 19 ledger"
