spec,unit,parameters,source,population
"Moretti college graduates' own, col 3 (2SLS age structure, 1980-90)",per unit BA+ share of workers (lower bound on spillover),0.86 (0.35),"Moretti 2004 JoE Table 5 col 3 (2SLS age structure, 1980-90)","282 US MSAs, 1980-1990"
"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 1980-1990 weights",per unit BA+ share (constant-composition externality),1.573 (0.4158997654692783),"Moretti 2004 Table 5 col 3 (2SLS age structure, 1980-90), averaged with 1980-1990 income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates"
"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 2024 others weights",per unit BA+ share (constant-composition externality),1.258 (0.3851836989898672),"Moretti 2004 Table 5 col 3 (2SLS age structure, 1980-90), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates"
"Moretti college graduates' own, col 4 (2SLS age structure, Katz-Murphy, 1980-90)",per unit BA+ share of workers (lower bound on spillover),0.47 (0.37),"Moretti 2004 JoE Table 5 col 4 (2SLS age structure, Katz-Murphy, 1980-90)","282 US MSAs, 1980-1990"
"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 1980-1990 weights",per unit BA+ share (constant-composition externality),1.181 (0.42424581163531505),"Moretti 2004 Table 5 col 4 (2SLS age structure, Katz-Murphy, 1980-90), averaged with 1980-1990 income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates"
"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 2024 others weights",per unit BA+ share (constant-composition externality),0.8615 (0.39755215625512164),"Moretti 2004 Table 5 col 4 (2SLS age structure, Katz-Murphy, 1980-90), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1980-1990; SE assumes perfectly correlated group estimates"
"Moretti college graduates' own, col 6 (2SLS land grant, 1990)",per unit BA+ share of workers (lower bound on spillover),0.55 (0.19),"Moretti 2004 JoE Table 5 col 6 (2SLS land grant, 1990)","282 US MSAs, 1990"
"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 1990 weights",per unit BA+ share (constant-composition externality),0.7467 (0.18583912843219585),"Moretti 2004 Table 5 col 6 (2SLS land grant, 1990), averaged with 1990 income shares (Ciccone-Peri identification)","282 US MSAs, 1990; SE assumes perfectly correlated group estimates"
"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 2024 others weights",per unit BA+ share (constant-composition externality),0.6848 (0.1866678755885729),"Moretti 2004 Table 5 col 6 (2SLS land grant, 1990), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1990; SE assumes perfectly correlated group estimates"
"Moretti college graduates' own, col 8 (2SLS land grant, 1980)",per unit BA+ share of workers (lower bound on spillover),0.45 (0.17),"Moretti 2004 JoE Table 5 col 8 (2SLS land grant, 1980)","282 US MSAs, 1980"
"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 1980 weights",per unit BA+ share (constant-composition externality),0.6028 (0.15434741628196352),"Moretti 2004 Table 5 col 8 (2SLS land grant, 1980), averaged with 1980 income shares (Ciccone-Peri identification)","282 US MSAs, 1980; SE assumes perfectly correlated group estimates"
"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 2024 others weights",per unit BA+ share (constant-composition externality),0.5363 (0.15903633285382737),"Moretti 2004 Table 5 col 8 (2SLS land grant, 1980), averaged with 2024 others income shares (Ciccone-Peri identification)","282 US MSAs, 1980; SE assumes perfectly correlated group estimates"
"Moretti plant productivity 0.5 per unit college share, as wages at labour share 0.7",per unit BA+ share (TFP / 0.7),0.7143 (None),Moretti 2004 AER (w9316) sec. 6: 'a one percentage point increase in city college share is associated with a 0.5-0.7 percent increase in productivity'; his own wage-to-productivity factor 0.7,"US manufacturing plants, 1982-1992 [INFERENCE: applied economy-wide]"
"Moretti plant productivity 0.7 per unit college share, as wages at labour share 0.7",per unit BA+ share (TFP / 0.7),1 (None),Moretti 2004 AER (w9316) sec. 6: 'a one percentage point increase in city college share is associated with a 0.5-0.7 percent increase in productivity'; his own wage-to-productivity factor 0.7,"US manufacturing plants, 1982-1992 [INFERENCE: applied economy-wide]"
"Moretti NLSY base case (Table 2 col 6), net of CES sigma 2",per unit BA+ share,0.9743 (0.33),Moretti 2004 Table 2/3; CES term 0.296 at 1980-90 BA shares,"NLSY79 workers in 201 MSAs, 1979-1994"
"Moretti NLSY base case (Table 2 col 6), net of CES sigma 1.5",per unit BA+ share,0.8758 (0.33),Moretti 2004 Table 2/3; CES term 0.394 at 1980-90 BA shares,"NLSY79 workers in 201 MSAs, 1979-1994"
"Moretti NLSY base case (Table 2 col 6), net of CES sigma 2.5",per unit BA+ share,1.033 (0.33),Moretti 2004 Table 2/3; CES term 0.237 at 1980-90 BA shares,"NLSY79 workers in 201 MSAs, 1979-1994"
"Moretti NLSY individual x city effects (col 4), net of CES sigma 2",per unit BA+ share,0.7843 (0.32),Moretti 2004 Table 2/3; CES term 0.296 at 1980-90 BA shares,"NLSY79 workers in 201 MSAs, 1979-1994"
"Moretti NLSY individual x city effects (col 4), net of CES sigma 1.5",per unit BA+ share,0.6858 (0.32),Moretti 2004 Table 2/3; CES term 0.394 at 1980-90 BA shares,"NLSY79 workers in 201 MSAs, 1979-1994"
"Moretti NLSY individual x city effects (col 4), net of CES sigma 2.5",per unit BA+ share,0.8435 (0.32),Moretti 2004 Table 2/3; CES term 0.237 at 1980-90 BA shares,"NLSY79 workers in 201 MSAs, 1979-1994"
"CRY college gradient net of CES, sigma 2, CRY-implied weights [central]",per unit share of workers with some college or more,0.07325 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.253,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, sigma 1.5, CRY-implied weights",per unit share of workers with some college or more,-0.01113 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.338,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, sigma 2.5, CRY-implied weights",per unit share of workers with some college or more,0.1239 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.203,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, no CES term (upper bound), CRY-implied weights",per unit share of workers with some college or more,0.3264 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.000,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, sigma 2, employment weights",per unit share of workers with some college or more,0.03578 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.291,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, sigma 1.5, employment weights",per unit share of workers with some college or more,-0.0611 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.388,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, sigma 2.5, employment weights",per unit share of workers with some college or more,0.0939 (0.10176384517538532),this lane's CRY joint regression 0.326 less CES term 0.233,"US, 691 CZs, LEHD 2010-2018"
"CRY college gradient net of CES, sigma 2, CRY-implied weights, weight's SE included",per unit share of workers with some college or more; m sampled,0.3264 (0.10176384517538532); 0.6087 (0.15644363959319915),"as the central, with m = 0.609 (0.156) from CRY Tables 3 and 10 (independence)","US, 691 CZs, LEHD 2010-2018"
"Glaeser-Resseger BA share, net of CES sigma 2",per unit adults' BA share; 0.411 + 0.196 (log pop - mean),0.411 (0.122); 0.196 (0.113),Glaeser-Resseger 2010 Table 1 col 3; CES term 0.363 at 2000 BA shares,"US MSAs, 2000 census"
"Glaeser-Resseger BA share, no CES term",per unit adults' BA share; 0.411 + 0.196 (log pop - mean),0.411 (0.122); 0.196 (0.113),Glaeser-Resseger 2010 Table 1 col 3; CES term 0.000 at 2000 BA shares,"US MSAs, 2000 census"
BCHTT wage_all_adults,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.24, 0.084)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT wage_level,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.269, 0.048)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT wage_x_years,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.199, 0.045)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT wage_low_tercile,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(-0.184, 0.242)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT wage_mid_tercile,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.181, 0.055)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT wage_high_tercile,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(1.161, 0.425)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT pat_all_adults,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.239, 0.093)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT pat_level,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.257, 0.094)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT pat_x_years,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.235, 0.129)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT pat_low_tercile,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(2.023, 3.628)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT pat_mid_tercile,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(0.141, 0.081)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT pat_high_tercile,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named","(1.18, 0.695)","Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT mean_years,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named",10.88,"Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT structural_wage_gain,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named",0.05,"Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
BCHTT structural_pop_share_of_growth,"$100 per 1,000 adult migrants (5-yr change), patents per 100,000, or as named",0.16,"Burchardi et al. w27075 Tables 1, 9; section 6.3","US counties, 1975-2010"
