state,year,agency_id,ori,pub_agency_name,agency_type_name,population,months,n_known_all,rec_rate,nibrs_off_eth_start_date,comp_source,covered_pop,victimisations_violent
TX,2022,18784,TX0110000,Bastrop,County,82073,12,2131.0000,0.9132,,county_residual,82073.0000,993.0000
TX,2022,18785,TX0110100,Bastrop,City,11101,12,725.0000,0.6883,2019-12-01,place,11101.0000,210.0000
TX,2022,18786,TX0110200,Elgin,City,11245,12,321.0000,0.9470,2018-09-01,place,11245.0000,133.0000
TX,2022,18787,TX0110300,Smithville,City,4150,12,162.0000,1.0000,2019-07-01,place,4150.0000,41.0000
TX,2022,18788,TX0120000,Baylor,County,921,10,8.0000,1.0000,2021-06-01,county_residual,767.5000,2.0000
TX,2022,18789,TX0120100,Seymour,City,2590,9,27.0000,1.0000,2016-12-01,place,1942.5000,11.0000
TX,2022,18790,TX0130000,Bee,County,17451,12,224.0000,0.9777,2018-07-01,county_residual,17451.0000,81.0000
TX,2022,18791,TX0130100,Beeville,City,13592,12,548.0000,0.9726,2021-02-01,place,13592.0000,207.0000
TX,2022,18792,TX0140000,Bell,County,65028,12,1014.0000,0.8738,,county_residual,65028.0000,476.0000
TX,2022,18794,TX0140200,Belton,City,24188,12,980.0000,0.9235,2021-03-01,place,24188.0000,333.0000
TX,2022,18795,TX0140300,Harker Heights,City,34001,12,618.0000,0.9693,2020-08-01,place,34001.0000,248.0000
TX,2022,18796,TX0140400,Killeen,City,159546,12,9494.0000,0.6170,,place,159546.0000,2790.0000
TX,2022,18797,TX0140500,Nolanville,City,6560,12,104.0000,0.7596,,place,6560.0000,41.0000
TX,2022,18798,TX0140700,Temple,City,88484,12,2260.0000,0.0000,2015-04-01,place,88484.0000,1146.0000
TX,2022,18799,TX0140900,Central Texas College,University or College,0,10,21.0000,0.4762,2022-04-01,none,0.0000,0.0000
TX,2022,18800,TX0141000,Morgans Point Resort,City,4789,12,79.0000,0.7342,2022-07-01,county_fallback,4789.0000,7.0000
TX,2022,18802,TX0141500,Independent School District:,Other,0,12,233.0000,0.9227,2019-11-01,none,0.0000,84.0000
TX,2022,18804,TX0141800,Salado,City,2395,12,30.0000,0.8667,2018-09-01,place,2395.0000,10.0000
TX,2022,18806,TX0150000,Bexar,County,434590,12,5850.0000,0.9889,2020-12-01,county_residual,434590.0000,3134.0000
TX,2022,18807,TX0150100,Alamo Heights,City,7412,12,502.0000,0.9064,2019-10-01,place,7412.0000,35.0000
TX,2022,18808,TX0150200,Balcones Heights,City,2709,12,418.0000,0.8134,2018-12-01,place,2709.0000,93.0000
TX,2022,18809,TX0150300,Castle Hills,City,3921,12,547.0000,0.6600,2018-03-01,place,3921.0000,38.0000
TX,2022,18810,TX0150500,Converse,City,29503,12,967.0000,0.9938,2016-08-01,place,29503.0000,245.0000
TX,2022,18811,TX0150700,Hill Country Village,City,939,12,39.0000,0.6410,2019-06-01,place,939.0000,2.0000
TX,2022,18812,TX0150800,Hollywood Park,City,3091,12,57.0000,0.9825,2016-10-01,place,3091.0000,9.0000
TX,2022,18813,TX0150900,Kirby,City,8069,12,288.0000,0.8715,2018-12-01,place,8069.0000,109.0000
TX,2022,18814,TX0151000,Leon Valley,City,11402,12,816.0000,0.9154,2018-12-01,place,11402.0000,263.0000
TX,2022,18815,TX0151100,Olmos Park,City,2151,12,85.0000,0.9882,2019-05-01,place,2151.0000,2.0000
TX,2022,18816,TX0151200,Shavano Park,City,3609,12,93.0000,0.9032,2020-11-01,place,3609.0000,9.0000
TX,2022,18817,TX0151300,Terrell Hills,City,5036,12,59.0000,0.8136,,place,5036.0000,3.0000
TX,2022,18818,TX0151400,Universal City,City,19903,12,753.0000,0.9894,2020-06-01,place,19903.0000,309.0000
TX,2022,18819,TX0151500,Windcrest,City,5793,12,549.0000,0.9800,2020-01-01,place,5793.0000,80.0000
TX,2022,18820,TX0151600,Live Oak,City,15884,12,612.0000,0.9641,2021-01-01,place,15884.0000,171.0000
TX,2022,18821,TX0151700,University of Texas:,University or College,0,11,13.0000,0.9231,2017-12-01,none,0.0000,3.0000
TX,2022,18822,TX0151900,University of Texas:,University or College,0,12,131.0000,0.9160,2020-05-01,none,0.0000,27.0000
TX,2022,18823,TX0152000,Independent School District:,Other,0,12,506.0000,0.2016,2019-05-01,none,0.0000,216.0000
TX,2022,18825,TX0152200,Selma,City,11824,12,323.0000,1.0000,2020-11-01,place,11824.0000,102.0000
TX,2022,18826,TX0152300,Somerset,City,1777,11,11.0000,1.0000,2020-11-01,place,1628.9167,7.0000
TX,2022,18827,TX0153000,Helotes,City,9263,12,279.0000,0.9355,2019-05-01,place,9263.0000,26.0000
TX,2022,18829,TX015349E,St. Mary's University,University or College,0,12,23.0000,0.8261,2019-01-01,none,0.0000,6.0000
TX,2022,18832,TX0153900,Fair Oaks Ranch,City,11119,12,327.0000,0.8593,2019-07-01,place,11119.0000,29.0000
TX,2022,18833,TX0157000,Texas A&M University:,University or College,0,11,31.0000,0.3871,,none,0.0000,6.0000
TX,2022,18834,TX0160000,Blanco,County,8747,12,68.0000,0.9853,2019-11-01,county_residual,8747.0000,29.0000
TX,2022,18835,TX0160100,Blanco,City,1870,12,76.0000,0.9605,2018-07-01,place,1870.0000,20.0000
TX,2022,18837,TX0170000,Borden,County,598,8,8.0000,1.0000,2019-07-01,county_residual,398.6667,1.0000
TX,2022,18838,TX0180000,Bosque,County,12692,12,116.0000,0.9310,2019-05-01,county_residual,12692.0000,29.0000
TX,2022,18839,TX0180100,Clifton,City,3526,11,56.0000,0.9821,2019-12-01,place,3232.1667,18.0000
TX,2022,18840,TX0180200,Valley Mills,City,1256,11,42.0000,1.0000,2020-01-01,place,1151.3333,12.0000
TX,2022,18841,TX0180800,Meridian,City,1424,12,29.0000,0.9655,2020-02-01,place,1424.0000,11.0000
TX,2022,18843,TX0190000,Bowie,County,37821,12,510.0000,0.9863,2022-12-01,county_residual,37821.0000,227.0000
TX,2022,18845,TX0190300,Nash,City,3847,9,42.0000,0.7381,,place,2885.2500,11.0000
TX,2022,18846,TX0190400,New Boston,City,4557,11,241.0000,0.8963,2020-11-01,place,4177.2500,76.0000
TX,2022,18847,TX0190500,Texarkana,City,35859,12,2165.0000,0.9700,,place,35859.0000,664.0000
TX,2022,18848,TX0190600,Wake Village,City,5861,12,144.0000,0.8194,2019-06-01,place,5861.0000,47.0000
TX,2022,18849,TX0190800,Hooks,City,2510,12,53.0000,0.9811,2021-01-01,place,2510.0000,17.0000
TX,2022,18850,TX0200000,Brazoria,County,132797,12,2048.0000,0.9429,2021-03-01,county_residual,132797.0000,1249.0000
TX,2022,18851,TX0200100,Alvin,City,27974,12,1489.0000,0.7179,2020-01-01,place,27974.0000,454.0000
TX,2022,18852,TX0200200,Angleton,City,19369,12,803.0000,0.9041,2020-03-01,place,19369.0000,297.0000
TX,2022,18853,TX0200300,Clute,City,10557,12,743.0000,0.8614,2019-05-01,place,10557.0000,317.0000
TX,2022,18855,TX0200500,Freeport,City,10500,11,245.0000,0.8857,2018-09-01,place,9625.0000,138.0000
TX,2022,18856,TX0200800,Lake Jackson,City,27595,12,960.0000,0.9844,2021-02-01,place,27595.0000,430.0000
TX,2022,18857,TX0200900,Manvel,City,14821,12,300.0000,0.7233,2018-03-01,place,14821.0000,74.0000
TX,2022,18858,TX0201000,Pearland,City,125894,12,3886.0000,0.7759,2015-04-01,place,125894.0000,967.0000
TX,2022,18859,TX0201100,Richwood,City,4730,12,68.0000,0.8824,2021-02-01,place,4730.0000,29.0000
TX,2022,18860,TX0201200,Sweeny,City,3566,12,136.0000,0.8750,2019-01-01,place,3566.0000,61.0000
TX,2022,18861,TX0201400,West Columbia,City,3587,12,118.0000,0.9237,2017-12-01,place,3587.0000,44.0000
TX,2022,18862,TX0201700,Alvin Community College,University or College,0,0,,,,none,0.0000,0.0000
TX,2022,18863,TX0201800,Brazoria,City,2823,10,97.0000,0.7526,2019-06-01,place,2352.5000,15.0000
TX,2022,18866,TX0202800,Surfside Beach,City,669,11,26.0000,0.8846,2018-10-01,place,613.2500,10.0000
TX,2022,18867,TX0202900,Oyster Creek,City,1196,12,114.0000,0.9298,2019-05-01,place,1196.0000,28.0000
TX,2022,18868,TX0203000,Iowa Colony,City,11056,12,182.0000,0.6484,2019-10-01,place,11056.0000,79.0000
TX,2022,18869,TX0203200,Independent School District:,Other,0,11,411.0000,0.9708,2021-03-01,none,0.0000,116.0000
TX,2022,18870,TX0203300,Independent School District:,Other,0,11,77.0000,0.9870,2019-06-01,none,0.0000,34.0000
TX,2022,18871,TX0210000,Brazos,County,31497,12,1021.0000,0.8325,2021-02-01,county_residual,31497.0000,294.0000
TX,2022,18872,TX0210100,Bryan,City,87935,4,1286.0000,0.9541,2020-11-01,place,29311.6667,444.0000
TX,2022,18873,TX0210200,College Station,City,121618,12,3168.0000,0.9555,2019-05-01,place,121618.0000,975.0000
TX,2022,18874,TX0210400,Texas A&M University:,University or College,0,12,861.0000,0.4367,2019-10-01,none,0.0000,54.0000
TX,2022,18875,TX0220000,Brewster,County,3634,8,22.0000,0.9545,2015-07-01,county_residual,2422.6667,7.0000
TX,2022,18876,TX0220100,Alpine,City,5757,12,69.0000,0.9710,2020-07-01,place,5757.0000,31.0000
TX,2022,18877,TX0220200,Sul Ross State University,University or College,0,9,5.0000,1.0000,2018-10-01,none,0.0000,1.0000
TX,2022,18878,TX0230000,Briscoe,County,1393,10,12.0000,0.9167,2018-12-01,county_residual,1160.8333,2.0000
TX,2022,18879,TX0240000,Brooks,County,2246,0,,,2020-12-01,county_residual,0.0000,0.0000
TX,2022,18880,TX0240100,Falfurrias,City,4754,12,45.0000,1.0000,2021-10-01,place,4754.0000,21.0000
TX,2022,18881,TX0250000,Brown,County,15160,12,466.0000,0.9464,2019-09-01,county_residual,15160.0000,150.0000
TX,2022,18882,TX0250100,Bangs,City,1541,7,10.0000,1.0000,2022-11-01,place,898.9167,8.0000
TX,2022,18883,TX0250200,Brownwood,City,18751,12,1144.0000,0.8199,2018-07-01,place,18751.0000,285.0000
TX,2022,18884,TX0250300,Early,City,3161,11,160.0000,0.9125,2019-07-01,place,2897.5833,41.0000
TX,2022,18885,TX0260000,Burleson,County,12983,12,149.0000,0.8993,2020-12-01,county_residual,12983.0000,68.0000
TX,2022,18886,TX0260100,Caldwell,City,4249,12,119.0000,0.8571,2020-11-01,place,4249.0000,21.0000
TX,2022,18887,TX0260200,Somerville,City,1346,12,33.0000,0.8788,2021-02-01,place,1346.0000,17.0000
TX,2022,18888,TX0270000,Burnet,County,28850,12,511.0000,0.8297,2018-09-01,county_residual,28850.0000,235.0000
TX,2022,18889,TX0270100,Burnet,City,6861,12,379.0000,0.9182,2017-01-01,place,6861.0000,74.0000
TX,2022,18890,TX0270200,Marble Falls,City,7408,12,527.0000,0.3681,2015-04-01,place,7408.0000,172.0000
TX,2022,18891,TX0270600,Bertram,City,1913,12,32.0000,0.8438,2020-07-01,place,1913.0000,13.0000
TX,2022,18893,TX0271100,Horseshoe Bay,City,4693,12,83.0000,0.2410,2018-10-01,place,4693.0000,26.0000
TX,2022,18895,TX0280000,Caldwell,County,25787,12,296.0000,0.7534,2019-08-01,county_residual,25787.0000,158.0000
TX,2022,18896,TX0280100,Lockhart,City,15068,12,334.0000,0.9371,2018-07-01,place,15068.0000,137.0000
TX,2022,18897,TX0280200,Luling,City,5511,12,178.0000,0.9775,,place,5511.0000,48.0000
TX,2022,18899,TX0290000,Calhoun,County,6919,12,226.0000,0.7876,2017-12-01,county_residual,6919.0000,56.0000
TX,2022,18900,TX0290100,Point Comfort,City,565,3,3.0000,1.0000,2022-01-01,place,141.2500,4.0000
TX,2022,18901,TX0290200,Port Lavaca,City,11048,12,530.0000,0.7019,2015-04-01,place,11048.0000,42.0000
TX,2022,18902,TX0290300,Seadrift,City,997,9,12.0000,1.0000,,place,747.7500,5.0000
TX,2022,18903,TX0300000,Callahan,County,9010,12,103.0000,0.9806,2022-01-01,county_residual,9010.0000,46.0000
TX,2022,18904,TX0300100,Baird,City,1529,11,15.0000,1.0000,2018-09-01,place,1401.5833,6.0000
TX,2022,18905,TX0300300,Clyde,City,4038,12,123.0000,0.9919,,place,4038.0000,36.0000
TX,2022,18906,TX0310000,Cameron,County,96998,12,2533.0000,0.9459,2021-03-01,county_residual,96998.0000,1371.0000
TX,2022,18907,TX0310100,Brownsville,City,188906,12,5593.0000,0.9676,2019-02-01,place,188906.0000,2908.0000
TX,2022,18908,TX0310200,Combes,City,3071,12,143.0000,0.0000,,place,3071.0000,21.0000
TX,2022,18909,TX0310300,Harlingen,City,72047,12,2907.0000,0.8686,2018-12-01,place,72047.0000,1151.0000
TX,2022,18910,TX0310400,La Feria,City,6791,12,289.0000,0.9308,,place,6791.0000,96.0000
TX,2022,18911,TX0310500,Los Fresnos,City,8164,11,344.0000,0.8285,2017-12-01,place,7483.6667,51.0000
TX,2022,18912,TX0310600,Port Isabel,City,5165,12,320.0000,0.9844,2018-11-01,place,5165.0000,83.0000
TX,2022,18913,TX0310700,Primera,City,5319,12,52.0000,0.9231,2021-03-01,place,5319.0000,21.0000
TX,2022,18914,TX0310800,Rio Hondo,City,2012,12,55.0000,1.0000,2019-06-01,place,2012.0000,21.0000
TX,2022,18915,TX0310900,San Benito,City,24712,12,767.0000,0.7588,2021-01-01,place,24712.0000,175.0000
TX,2022,18918,TX0311300,South Padre Island,City,2048,12,757.0000,1.0000,2018-09-01,place,2048.0000,207.0000
TX,2022,18919,TX0311400,Texas State Technical College:,University or College,0,10,19.0000,0.9474,2021-11-01,none,0.0000,3.0000
TX,2022,18921,TX0312400,Independent School District:,Other,0,11,671.0000,0.9911,2021-01-01,none,0.0000,314.0000
TX,2022,18923,TX0312900,Laguna Vista,City,3673,11,28.0000,1.0000,2018-11-01,place,3366.9167,12.0000
TX,2022,18924,TX0313200,Rancho Viejo,City,2867,11,34.0000,0.0000,,place,2628.0833,6.0000
TX,2022,18925,TX0320000,Camp,County,8428,12,145.0000,0.8000,2019-07-01,county_residual,8428.0000,60.0000
TX,2022,18926,TX0320100,Pittsburg,City,4433,12,172.0000,0.9709,2018-09-01,place,4433.0000,62.0000
TX,2022,18927,TX0330000,Carson,County,3409,12,83.0000,0.6024,2022-02-01,county_residual,3409.0000,25.0000
TX,2022,18928,TX0330100,Panhandle,City,2310,5,7.0000,0.4286,2022-09-01,place,962.5000,4.0000
TX,2022,18929,TX0340000,Cass,County,18388,11,185.0000,1.0000,2019-01-01,county_residual,16855.6667,60.0000
TX,2022,18930,TX0340100,Atlanta,City,5443,12,195.0000,0.8103,2021-04-01,place,5443.0000,40.0000
TX,2022,18931,TX0340200,Hughes Springs,City,1542,3,4.0000,0.7500,2020-01-01,place,385.5000,2.0000
TX,2022,18932,TX0340300,Linden,City,1788,11,23.0000,0.9565,2020-10-01,place,1639.0000,11.0000
TX,2022,18933,TX0340400,Queen City,City,1410,12,27.0000,0.8889,2021-02-01,place,1410.0000,9.0000
TX,2022,18935,TX0350000,Castro,County,3272,11,91.0000,0.9670,2018-09-01,county_residual,2999.3333,15.0000
TX,2022,18936,TX0350100,Dimmitt,City,4183,12,84.0000,0.9881,2020-02-01,place,4183.0000,31.0000
TX,2022,18938,TX0360000,Chambers,County,37355,12,1695.0000,0.8307,2018-07-01,county_fallback,37355.0000,410.0000
TX,2022,18939,TX0360700,Mont Belvieu,City,8902,12,103.0000,0.8641,2017-01-01,place,8902.0000,52.0000
TX,2022,18940,TX0361000,Independent School District:,Other,0,11,58.0000,0.9828,2017-01-01,none,0.0000,15.0000
TX,2022,18941,TX0370000,Cherokee,County,32037,12,602.0000,0.9784,2018-07-01,county_residual,32037.0000,273.0000
TX,2022,18942,TX0370100,Jacksonville,City,14196,12,930.0000,0.9312,2017-01-01,place,14196.0000,304.0000
TX,2022,18943,TX0370300,Rusk,City,5583,12,209.0000,0.9665,2015-04-01,place,5583.0000,66.0000
TX,2022,18946,TX0371200,Cuney,City,115,5,5.0000,1.0000,2018-09-01,place,47.9167,2.0000
TX,2022,18947,TX0380000,Childress,County,951,11,13.0000,0.8462,2020-11-01,county_residual,871.7500,3.0000
TX,2022,18948,TX0380100,Childress,City,5915,12,178.0000,0.9888,2019-07-01,place,5915.0000,41.0000
TX,2022,18949,TX0390000,Clay,County,10343,12,185.0000,0.9838,,county_fallback,10343.0000,49.0000
TX,2022,18951,TX0400000,Cochran,County,2489,10,67.0000,1.0000,2019-02-01,county_residual,2074.1667,5.0000
TX,2022,18953,TX0410000,Coke,County,3374,12,37.0000,0.9459,2021-03-01,county_residual,3374.0000,12.0000
TX,2022,18954,TX0420000,Coleman,County,2875,12,12.0000,1.0000,,county_residual,2875.0000,4.0000
TX,2022,18955,TX0420100,Coleman,City,3943,12,48.0000,1.0000,2021-02-01,place,3943.0000,18.0000
TX,2022,18956,TX0420200,Santa Anna,City,1029,10,26.0000,1.0000,2019-10-01,place,857.5000,7.0000
TX,2022,18957,TX0430000,Collin,County,85826,12,1012.0000,0.7747,2015-04-01,county_fallback,85826.0000,379.0000
TX,2022,18958,TX0430100,Allen,City,108135,9,1785.0000,0.7227,2022-12-01,place,81101.2500,428.0000
TX,2022,18959,TX0430200,Celina,City,24190,12,576.0000,0.4983,2018-12-01,place,24190.0000,80.0000
TX,2022,18960,TX0430300,Farmersville,City,4024,12,127.0000,0.5984,2019-06-01,place,4024.0000,32.0000
TX,2022,18961,TX0430400,Frisco,City,218962,12,5641.0000,0.5917,2014-04-01,place,218962.0000,1227.0000
TX,2022,18962,TX0430500,McKinney,City,208415,12,3169.0000,0.9025,2015-04-01,place,208415.0000,1183.0000
TX,2022,18963,TX0430600,Plano,City,289847,12,8935.0000,0.7616,2015-03-01,place,289847.0000,1941.0000
TX,2022,18964,TX0430700,Prosper,City,37752,12,550.0000,0.7073,2019-02-01,place,37752.0000,110.0000
TX,2022,18965,TX0430800,Wylie,City,60910,12,1068.0000,0.8230,2015-04-01,place,60910.0000,370.0000
TX,2022,18966,TX0430900,Princeton,City,22867,12,653.0000,0.6723,2017-01-01,place,22867.0000,197.0000
TX,2022,18967,TX0431700,Melissa,City,20071,12,277.0000,0.4729,2018-08-01,place,20071.0000,46.0000
TX,2022,18968,TX0431800,Murphy,City,21297,12,301.0000,0.7807,2015-04-01,place,21297.0000,81.0000
TX,2022,18969,TX0431900,Parker,City,6144,12,67.0000,0.3731,2019-02-01,place,6144.0000,11.0000
TX,2022,18970,TX0432000,Lavon,City,6277,12,44.0000,0.8864,2020-08-01,place,6277.0000,17.0000
TX,2022,18971,TX0432600,Anna,City,23541,12,474.0000,0.9008,2020-06-01,place,23541.0000,110.0000
TX,2022,18972,TX0440000,Collingsworth,County,2611,3,5.0000,0.8000,2022-08-01,county_residual,652.7500,3.0000
TX,2022,18974,TX0450000,Colorado,County,11649,12,183.0000,0.8361,2018-07-01,county_residual,11649.0000,66.0000
TX,2022,18975,TX0450100,Columbus,City,3598,12,103.0000,0.7961,2019-02-01,place,3598.0000,30.0000
TX,2022,18977,TX0450300,Weimar,City,2083,12,56.0000,0.9821,2020-12-01,place,2083.0000,12.0000
TX,2022,18978,TX0460000,Comal,County,90890,12,1405.0000,0.6840,2021-03-01,county_residual,90890.0000,427.0000
TX,2022,18979,TX0460100,New Braunfels,City,107017,12,2467.0000,0.9927,2018-09-01,place,107017.0000,1109.0000
TX,2022,18980,TX0460700,Garden Ridge,City,4442,12,41.0000,0.9512,2018-09-01,place,4442.0000,9.0000
TX,2022,18981,TX0460800,Bulverde,City,6268,12,544.0000,0.9816,2019-02-01,place,6268.0000,43.0000
TX,2022,18982,TX0470000,Comanche,County,7450,12,169.0000,0.9172,2021-03-01,county_residual,7450.0000,75.0000
TX,2022,18983,TX0470100,Comanche,City,4276,12,243.0000,0.0000,,place,4276.0000,57.0000
TX,2022,18984,TX0470200,De Leon,City,2310,12,35.0000,0.9143,2022-01-01,place,2310.0000,20.0000
TX,2022,18985,TX0480000,Concho,County,3383,12,38.0000,0.7368,2020-06-01,county_residual,3383.0000,13.0000
TX,2022,18987,TX0490000,Cooke,County,24222,12,335.0000,0.9970,2019-06-01,county_residual,24222.0000,122.0000
TX,2022,18988,TX0490100,Gainesville,City,17789,12,960.0000,0.9990,2020-09-01,place,17789.0000,228.0000
TX,2022,18991,TX0500000,Coryell,County,31877,12,190.0000,1.0000,2020-05-01,county_residual,31877.0000,107.0000
TX,2022,18992,TX0500100,Copperas Cove,City,37841,12,1961.0000,0.0000,,place,37841.0000,771.0000
TX,2022,18993,TX0500200,Gatesville,City,17154,12,343.0000,0.9679,2016-09-01,place,17154.0000,129.0000
TX,2022,18997,TX0520000,Crane,County,1235,12,54.0000,1.0000,2018-12-01,county_residual,1235.0000,8.0000
TX,2022,18998,TX0520100,Crane,City,3485,12,63.0000,1.0000,2020-07-01,place,3485.0000,14.0000
TX,2022,18999,TX0530000,Crockett,County,3044,12,34.0000,1.0000,2018-09-01,county_residual,3044.0000,17.0000
TX,2022,19000,TX0540000,Crosby,County,1051,12,47.0000,0.9787,2018-10-01,county_residual,1051.0000,22.0000
TX,2022,19006,TX0560000,Dallam,County,1706,9,12.0000,0.5000,2020-06-01,county_fallback,1279.5000,3.0000
TX,2022,19007,TX0560100,Dalhart,City,8410,12,204.0000,0.6667,2019-11-01,place,8410.0000,73.0000
TX,2022,19008,TX0570000,Dallas,County,0,12,556.0000,0.8435,2021-01-01,county_residual,0.0000,172.0000
TX,2022,19009,TX0570100,Addison,City,17531,12,1202.0000,0.7629,2019-12-01,place,17531.0000,476.0000
TX,2022,19010,TX0570200,Balch Springs,City,26973,12,893.0000,0.9127,2017-12-01,place,26973.0000,342.0000
TX,2022,19011,TX0570400,Carrollton,City,133610,12,3916.0000,0.7942,2020-07-01,place,133610.0000,939.0000
TX,2022,19012,TX0570500,Cedar Hill,City,48483,12,1171.0000,0.9283,2019-05-01,place,48483.0000,315.0000
TX,2022,19013,TX0570600,Cockrell Hill,City,3687,12,128.0000,0.7891,2020-08-01,place,3687.0000,26.0000
TX,2022,19014,TX0570700,Coppell,City,42021,12,1190.0000,0.4000,2019-06-01,place,42021.0000,146.0000
TX,2022,19015,TX0570800,DeSoto,City,55956,12,1538.0000,0.9057,2019-05-01,place,55956.0000,714.0000
TX,2022,19016,TX0570900,Duncanville,City,39474,12,1166.0000,0.8190,2019-05-01,place,39474.0000,427.0000
TX,2022,19017,TX0571000,Farmers Branch,City,36595,12,743.0000,0.9596,2019-10-01,place,36595.0000,348.0000
TX,2022,19018,TX0571100,Garland,City,241095,12,7705.0000,0.0000,,place,241095.0000,3283.0000
TX,2022,19019,TX0571200,Grand Prairie,City,199663,12,7244.0000,0.8250,2018-07-01,place,199663.0000,1562.0000
TX,2022,19020,TX0571300,Highland Park,City,8732,12,120.0000,0.9583,2015-04-01,place,8732.0000,23.0000
TX,2022,19021,TX0571400,Hutchins,City,5594,12,394.0000,0.9340,2020-08-01,place,5594.0000,104.0000
TX,2022,19022,TX0571500,Irving,City,254141,12,17500.0000,0.6095,2020-05-01,place,254141.0000,3599.0000
TX,2022,19024,TX0571700,Lancaster,City,40615,12,1662.0000,0.9308,2015-04-01,place,40615.0000,669.0000
TX,2022,19025,TX0571800,Mesquite,City,147226,12,5348.0000,0.9811,2019-01-01,place,147226.0000,2425.0000
TX,2022,19026,TX0572000,Richardson,City,115771,12,3580.0000,0.6869,2019-05-01,place,115771.0000,626.0000
TX,2022,19027,TX0572100,Sachse,City,31317,12,338.0000,0.9852,2015-04-01,place,31317.0000,153.0000
TX,2022,19028,TX0572200,Seagoville,City,19389,12,297.0000,0.9158,2020-09-01,place,19389.0000,99.0000
TX,2022,19029,TX0572400,University Park,City,24918,12,138.0000,0.8623,2018-09-01,place,24918.0000,34.0000
TX,2022,19030,TX0572500,Wilmer,City,5590,12,138.0000,0.8986,2020-09-01,place,5590.0000,67.0000
TX,2022,19031,TX0572600,University of Texas:,University or College,0,12,199.0000,0.9849,2021-01-01,none,0.0000,109.0000
TX,2022,19032,TX0572800,University of Texas:,University or College,0,12,48.0000,0.2083,2019-06-01,none,0.0000,13.0000
TX,2022,19034,TX0573300,Rowlett,City,65196,12,1912.0000,0.6919,2015-04-01,place,65196.0000,649.0000
TX,2022,19039,TX0574700,Glenn Heights,City,18398,12,442.0000,0.9819,2018-07-01,place,18398.0000,167.0000
TX,2022,19041,TX057519E,Baylor Health Care System,University or College,0,12,285.0000,0.9860,2021-01-01,none,0.0000,209.0000
TX,2022,19042,TX057529E,Southern Methodist University,University or College,0,12,164.0000,0.4634,2021-03-01,none,0.0000,14.0000
TX,2022,19043,TX0575500,Ovilla,City,4365,12,28.0000,0.9643,2020-12-01,place,4365.0000,13.0000
