cohort,survey,spec,sex,rule,ref_censuses,n,wN,clamped_share,position,ridit,ridit_se,bins,q1,q1_se,q2,q2_se,q3,q3_se,q4,q4_se,q5,q5_se,mig_c1_none_primary_incomplete,mig_c1_none_primary_incomplete_se,mex_c1_none_primary_incomplete,diff_c1_none_primary_incomplete,diff_c1_none_primary_incomplete_se,mig_c2_primary,mig_c2_primary_se,mex_c2_primary,diff_c2_primary,diff_c2_primary_se,mig_c3_lower_secondary,mig_c3_lower_secondary_se,mex_c3_lower_secondary,diff_c3_lower_secondary,diff_c3_lower_secondary_se,mig_c4_upper_secondary,mig_c4_upper_secondary_se,mex_c4_upper_secondary,diff_c4_upper_secondary,diff_c4_upper_secondary_se,mig_c5_tertiary,mig_c5_tertiary_se,mex_c5_tertiary,diff_c5_tertiary,diff_c5_tertiary_se
1975-1979,1980,ref2020,H,2020,2020,9491,189820.00000,0.00000,middle (fewer in both tails),0.49690,0.00282,0-0 1-5 6-6 7-8 9-9 10-11 12-12 13-13 14-15 16-16,0.15770,0.00330,0.22435,0.00303,0.23821,0.00349,0.23978,0.00405,0.13996,0.00344,0.39174,0.00555,0.40386,-0.01213,0.00543,0.31662,0.00509,0.23449,0.08212,0.00508,0.10768,0.00333,0.13062,-0.02294,0.00330,0.10009,0.00322,0.06676,0.03333,0.00321,0.08387,0.00294,0.16426,-0.08040,0.00298
1975-1979,1980,ref2020,M,2020,2020,7547,150940.00000,0.00000,middle (fewer in both tails),0.54558,0.00300,0-0 1-5 6-6 7-8 9-9 10-11 12-12 13-13 14-15 16-16,0.11353,0.00301,0.20152,0.00340,0.24177,0.00378,0.22893,0.00403,0.21425,0.00460,0.40095,0.00579,0.46357,-0.06261,0.00568,0.32529,0.00546,0.24286,0.08243,0.00544,0.09832,0.00345,0.11914,-0.02082,0.00345,0.10123,0.00355,0.07188,0.02936,0.00354,0.07420,0.00306,0.10255,-0.02835,0.00307
1975-1979,1980,arrival_age_18plus,P,nearest,2000,20280,405600.00000,0.00000,middle (fewer in both tails),0.54316,0.00216,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11321,0.00247,0.20089,0.00268,0.23004,0.00266,0.25683,0.00299,0.19903,0.00303,0.37426,0.00402,0.43909,-0.06483,0.00396,0.32983,0.00372,0.24493,0.08490,0.00370,0.11351,0.00241,0.12677,-0.01326,0.00240,0.10542,0.00241,0.07335,0.03208,0.00241,0.07697,0.00205,0.11586,-0.03889,0.00210
1975-1979,1980,arrival_age_18plus,H,nearest,2000,11494,229880.00000,0.00000,middle (fewer in both tails),0.51217,0.00265,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13156,0.00334,0.22650,0.00350,0.23380,0.00339,0.24983,0.00387,0.15831,0.00337,0.36967,0.00509,0.40051,-0.03084,0.00497,0.32661,0.00474,0.24547,0.08114,0.00473,0.11893,0.00319,0.13493,-0.01600,0.00316,0.10449,0.00306,0.06918,0.03531,0.00305,0.08030,0.00266,0.14991,-0.06961,0.00269
1975-1979,1980,arrival_age_18plus,M,nearest,2000,8786,175720.00000,0.00000,"top (fewer at bottom, more at top)",0.58370,0.00283,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.08922,0.00292,0.16738,0.00355,0.22511,0.00383,0.26598,0.00425,0.25231,0.00461,0.38026,0.00537,0.48956,-0.10930,0.00528,0.33405,0.00512,0.24423,0.08982,0.00510,0.10642,0.00333,0.11608,-0.00967,0.00332,0.10665,0.00338,0.07879,0.02785,0.00338,0.07262,0.00283,0.07133,0.00129,0.00284
1975-1979,1980,arrival_age_25plus,P,nearest,2000,10258,205160.00000,0.00000,middle (fewer in both tails),0.57765,0.00289,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.10723,0.00305,0.15735,0.00330,0.22181,0.00372,0.26069,0.00398,0.25291,0.00451,0.45535,0.00549,0.54338,-0.08803,0.00539,0.29860,0.00488,0.22392,0.07467,0.00486,0.08384,0.00284,0.09470,-0.01086,0.00283,0.08569,0.00297,0.05468,0.03101,0.00296,0.07653,0.00283,0.08332,-0.00680,0.00284
1975-1979,1980,arrival_age_25plus,H,nearest,2000,5555,111100.00000,0.00000,middle (fewer in both tails),0.54806,0.00368,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.12441,0.00431,0.18402,0.00465,0.21947,0.00487,0.25130,0.00525,0.22081,0.00544,0.45491,0.00706,0.50692,-0.05201,0.00693,0.29541,0.00636,0.22865,0.06676,0.00634,0.08173,0.00373,0.10022,-0.01849,0.00371,0.08245,0.00377,0.05023,0.03222,0.00376,0.08551,0.00382,0.11399,-0.02848,0.00383
1975-1979,1980,arrival_age_25plus,M,nearest,2000,4703,94060.00000,0.00000,"top (fewer at bottom, more at top)",0.61260,0.00377,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.08694,0.00354,0.12586,0.00408,0.22458,0.00517,0.27178,0.00554,0.29083,0.00642,0.45588,0.00735,0.58644,-0.13056,0.00721,0.30236,0.00674,0.21834,0.08402,0.00671,0.08633,0.00409,0.08818,-0.00185,0.00407,0.08952,0.00420,0.05993,0.02958,0.00419,0.06592,0.00365,0.04710,0.01882,0.00364
1975-1979,1980,arrival_age_20plus_certain,P,nearest,2000,12549,250980.00000,0.00000,middle (fewer in both tails),0.57104,0.00264,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.10716,0.00285,0.16722,0.00314,0.22384,0.00338,0.25976,0.00361,0.24202,0.00403,0.43326,0.00500,0.51631,-0.08305,0.00491,0.30576,0.00448,0.23122,0.07454,0.00447,0.09148,0.00270,0.10240,-0.01092,0.00269,0.09037,0.00277,0.05879,0.03157,0.00276,0.07913,0.00260,0.09128,-0.01215,0.00262
1975-1979,1980,arrival_age_20plus_certain,H,nearest,2000,6887,137740.00000,0.00000,middle (fewer in both tails),0.54050,0.00332,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.12438,0.00399,0.19662,0.00438,0.22017,0.00443,0.25342,0.00480,0.20541,0.00474,0.43183,0.00641,0.47858,-0.04675,0.00628,0.30289,0.00580,0.23525,0.06764,0.00578,0.09264,0.00358,0.10859,-0.01596,0.00356,0.08727,0.00349,0.05406,0.03321,0.00348,0.08538,0.00344,0.12352,-0.03814,0.00346
1975-1979,1980,arrival_age_20plus_certain,M,nearest,2000,5662,113240.00000,0.00000,"top (fewer at bottom, more at top)",0.60819,0.00346,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.08622,0.00334,0.13145,0.00388,0.22831,0.00470,0.26748,0.00499,0.28654,0.00587,0.43501,0.00668,0.56221,-0.12720,0.00655,0.30925,0.00618,0.22631,0.08294,0.00615,0.09007,0.00381,0.09486,-0.00479,0.00380,0.09414,0.00392,0.06455,0.02959,0.00391,0.07153,0.00346,0.05207,0.01946,0.00345
1975-1979,1980,not_enrolled,P,nearest,2000,16430,328600.00000,0.00000,middle (fewer in both tails),0.54025,0.00233,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11699,0.00270,0.19828,0.00293,0.23287,0.00294,0.25701,0.00325,0.19484,0.00325,0.41047,0.00443,0.46560,-0.05513,0.00437,0.32836,0.00405,0.24030,0.08807,0.00403,0.10213,0.00252,0.11846,-0.01633,0.00251,0.09860,0.00256,0.06852,0.03008,0.00255,0.06044,0.00197,0.10712,-0.04668,0.00203
1975-1979,1980,not_enrolled,H,nearest,2000,9121,182420.00000,0.00000,middle (fewer in both tails),0.50892,0.00290,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13580,0.00371,0.22629,0.00392,0.23388,0.00380,0.24903,0.00424,0.15501,0.00368,0.40763,0.00570,0.42745,-0.01982,0.00558,0.32507,0.00522,0.24185,0.08322,0.00520,0.10558,0.00336,0.12588,-0.02030,0.00334,0.09834,0.00327,0.06400,0.03434,0.00325,0.06337,0.00260,0.14081,-0.07744,0.00265
1975-1979,1980,not_enrolled,M,nearest,2000,7309,146180.00000,0.00000,middle (fewer in both tails),0.57936,0.00305,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09351,0.00319,0.16333,0.00382,0.23163,0.00420,0.26697,0.00455,0.24455,0.00493,0.41401,0.00591,0.51321,-0.09920,0.00580,0.33247,0.00558,0.23836,0.09411,0.00556,0.09782,0.00349,0.10919,-0.01137,0.00349,0.09892,0.00357,0.07416,0.02476,0.00356,0.05678,0.00275,0.06509,-0.00831,0.00276
1975-1979,1980,both_sex_reference,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55653,0.00229,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.10790,0.00250,0.19105,0.00286,0.23537,0.00299,0.24527,0.00311,0.22040,0.00339,0.39582,0.00434,0.46945,-0.07363,0.00425,0.32046,0.00395,0.24103,0.07943,0.00393,0.10353,0.00249,0.11789,-0.01436,0.00248,0.10060,0.00253,0.06993,0.03066,0.00252,0.07959,0.00225,0.10169,-0.02211,0.00227
1975-1979,1980,both_sex_reference,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.55492,0.00290,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.10958,0.00322,0.19498,0.00372,0.22993,0.00383,0.24741,0.00409,0.21810,0.00425,0.39174,0.00555,0.46162,-0.06988,0.00542,0.31662,0.00509,0.24324,0.07337,0.00507,0.10768,0.00333,0.12008,-0.01240,0.00330,0.10009,0.00322,0.07124,0.02885,0.00321,0.08387,0.00294,0.10381,-0.01995,0.00296
1975-1979,1980,both_sex_reference,M,nearest,2000,7547,150940.00000,0.00000,middle (fewer in both tails),0.55856,0.00303,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.10580,0.00327,0.18611,0.00391,0.24221,0.00429,0.24260,0.00432,0.22328,0.00466,0.40095,0.00579,0.47930,-0.07835,0.00569,0.32529,0.00546,0.23824,0.08706,0.00544,0.09832,0.00345,0.11514,-0.01682,0.00345,0.10123,0.00355,0.06829,0.03294,0.00354,0.07420,0.00306,0.09903,-0.02482,0.00307
1975-1979,1980,credential_convention,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.13749,0.00280,0.07896,0.05853,0.00279,0.04269,0.00147,0.09766,-0.05496,0.00153
1975-1979,1980,credential_convention,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.13818,0.00359,0.07661,0.06157,0.00357,0.04579,0.00197,0.12916,-0.08338,0.00201
1975-1979,1980,credential_convention,M,nearest,2000,7547,150940.00000,0.00000,middle (fewer in both tails),0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.13663,0.00387,0.08193,0.05470,0.00386,0.03881,0.00192,0.05804,-0.01923,0.00194
1975-1979,1980,split_neutral,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,split_neutral,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,split_neutral,M,nearest,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1975-1979,1980,split_low,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,split_low,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,split_low,M,nearest,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1975-1979,1980,split_high,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,split_high,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,split_high,M,nearest,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1975-1979,1980,12th_no_diploma_as_upper_secondary,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,12th_no_diploma_as_upper_secondary,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,12th_no_diploma_as_upper_secondary,M,nearest,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1975-1979,1980,secundaria_as_diploma_0.25,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
